Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
AL2 - Álcool Anidro,X06,965.0,960.0,-5.0,150.0
AL2 - Álcool Anidro,Z06,980.0,980.0,0.0,0.0
AL2 - Álcool Anidro,F07,1028.5,1025.0,-3.5,105.0
AL2 - Álcool Anidro,G07,1040.0,1040.0,0.0,0.0
AL2 - Álcool Anidro,H07,1058.0,1058.0,0.0,0.0
ALA - Álcool anidro,X06,965.0,960.0,-5.0,150.0
ALA - Álcool anidro,Z06,980.0,980.0,0.0,0.0
ALA - Álcool anidro,F07,1028.5,1025.0,-3.5,105.0
ALA - Álcool anidro,G07,1040.0,1040.0,0.0,0.0
ALA - Álcool anidro,H07,1058.0,1058.0,0.0,0.0
B19 - Global 2019,F07,119.4063,119.375,-0.0313,33.47
B34 - Global 2034,F07,115.625,115.3125,-0.3125,334.23
B40 - Global 2040,F07,129.8438,129.625,-0.2188,234.01
BG2 - Boi gordo,V06,59.4,60.05,0.65,214.5
BG2 - Boi gordo,X06,58.12,58.65,0.53,174.9
BG2 - Boi gordo,Z06,57.01,57.49,0.48,158.4
BG2 - Boi gordo,F07,55.92,56.15,0.23,75.9
BG2 - Boi gordo,G07,55.9,56.05,0.15,49.5
BG2 - Boi gordo,H07,55.8,55.95,0.15,49.5
BG2 - Boi gordo,J07,55.4,55.3,-0.1,33.0
BG2 - Boi gordo,K07,54.65,54.7,0.05,16.5
BG2 - Boi gordo,M07,56.1,56.0,-0.1,33.0
BG2 - Boi gordo,N07,57.83,57.86,0.03,9.9
BG2 - Boi gordo,Q07,59.6,59.65,0.05,16.5
BG2 - Boi gordo,U07,61.1,61.15,0.05,16.5
BG2 - Boi gordo,V07,62.74,62.9,0.16,52.8
BG2 - Boi gordo,X07,62.85,62.98,0.13,42.9
BGI - Boi gordo,V06,59.4,60.05,0.65,214.5
BGI - Boi gordo,X06,58.12,58.65,0.53,174.9
BGI - Boi gordo,Z06,57.01,57.49,0.48,158.4
BGI - Boi gordo,F07,55.92,56.15,0.23,75.9
BGI - Boi gordo,G07,55.9,56.05,0.15,49.5
BGI - Boi gordo,H07,55.8,55.95,0.15,49.5
BGI - Boi gordo,J07,55.4,55.3,-0.1,33.0
BGI - Boi gordo,K07,54.65,54.7,0.05,16.5
BGI - Boi gordo,M07,56.1,56.0,-0.1,33.0
BGI - Boi gordo,N07,57.83,57.86,0.03,9.9
BGI - Boi gordo,Q07,59.6,59.65,0.05,16.5
BGI - Boi gordo,U07,61.1,61.15,0.05,16.5
BGI - Boi gordo,V07,62.74,62.9,0.16,52.8
BGI - Boi gordo,X07,62.85,62.98,0.13,42.9
BRI - Futuro do Índice Brasil 50,Z06,5624.0,5675.0,51.0,510.0
BZ2 - Bezerro,G07,397.39,396.92,-0.47,15.51
BZ2 - Bezerro,H07,429.1,425.0,-4.1,135.3
BZ2 - Bezerro,J07,419.59,419.02,-0.57,18.81
BZ2 - Bezerro,K07,422.03,421.5,-0.53,17.49
BZE - Bezerro,G07,397.39,396.92,-0.47,15.51
BZE - Bezerro,H07,429.1,425.0,-4.1,135.3
BZE - Bezerro,J07,419.59,419.02,-0.57,18.81
BZE - Bezerro,K07,422.03,421.5,-0.53,17.49
CN2 - Milho,X06,19.8,19.72,-0.08,36.0
CN2 - Milho,F07,20.3,20.25,-0.05,22.5
CN2 - Milho,H07,18.44,18.45,0.01,4.5
CN2 - Milho,K07,17.77,17.8,0.03,13.5
CN2 - Milho,N07,18.2,18.35,0.15,67.5
CO2 - Algodão,Z06,59.4,59.4,0.0,0.0
CO2 - Algodão,H07,61.85,61.85,0.0,0.0
CO2 - Algodão,K07,62.0,62.0,0.0,0.0
CO2 - Algodão,N07,56.45,56.45,0.0,0.0
CO2 - Algodão,V07,56.5,56.5,0.0,0.0
COT - Algodão,Z06,59.4,59.4,0.0,0.0
COT - Algodão,H07,61.85,61.85,0.0,0.0
COT - Algodão,K07,62.0,62.0,0.0,0.0
COT - Algodão,N07,56.45,56.45,0.0,0.0
COT - Algodão,V07,56.5,56.5,0.0,0.0
DAP - Cupom de DI x IPCA,N07,93851.79,93921.53,69.74,90.22
DAP - Cupom de DI x IPCA,K09,80178.77,80112.71,-66.06,85.46
DAP - Cupom de DI x IPCA,Q10,72037.77,71911.92,-125.85,162.82
DAP - Cupom de DI x IPCA,K15,48242.06,47720.09,-521.97,675.32
DDI - Cupom cambial,X06,99649.81,99490.11,-159.7,171.33
DDI - Cupom cambial,Z06,99233.34,99072.68,-160.66,172.36
DDI - Cupom cambial,F07,98782.05,98617.14,-164.91,176.92
DDI - Cupom cambial,G07,98382.71,98222.58,-160.13,171.79
DDI - Cupom cambial,J07,97555.45,97399.51,-155.94,167.3
DDI - Cupom cambial,N07,96326.3,96169.57,-156.73,168.14
DDI - Cupom cambial,V07,95064.47,94883.21,-181.26,194.46
DDI - Cupom cambial,F08,93799.18,93616.69,-182.49,195.78
DDI - Cupom cambial,J08,92594.54,92399.19,-195.35,209.58
DDI - Cupom cambial,N08,91411.83,91199.94,-211.89,227.32
DDI - Cupom cambial,V08,90230.38,90050.68,-179.7,192.79
DDI - Cupom cambial,F09,89015.41,88820.25,-195.16,209.37
DDI - Cupom cambial,J09,87893.98,87712.76,-181.22,194.42
DDI - Cupom cambial,N09,86783.26,86564.31,-218.95,234.9
DDI - Cupom cambial,V09,85611.88,85444.65,-167.23,179.41
DDI - Cupom cambial,F10,84463.13,84243.16,-219.97,235.99
DDI - Cupom cambial,J10,83392.3,83145.95,-246.35,264.29
DDI - Cupom cambial,N10,82238.3,82067.22,-171.08,183.54
DDI - Cupom cambial,V10,81108.35,80943.06,-165.29,177.33
DDI - Cupom cambial,F11,79859.44,79703.61,-155.83,167.18
DDI - Cupom cambial,J11,78817.59,78618.34,-199.25,213.76
DDI - Cupom cambial,N11,77613.61,77428.41,-185.2,198.69
DDI - Cupom cambial,F12,75257.24,75046.79,-210.45,225.78
DDI - Cupom cambial,F13,71055.26,70929.31,-125.95,135.12
DDI - Cupom cambial,F14,67043.02,66827.05,-215.97,231.7
DDI - Cupom cambial,F15,63047.82,62947.58,-100.24,107.54
DDI - Cupom cambial,F16,59192.49,59083.03,-109.46,117.43
DI1 - DI de 1 dia,X06,99645.87,99645.69,-0.18,0.18
DI1 - DI de 1 dia,Z06,98641.31,98640.29,-1.02,1.02
DI1 - DI de 1 dia,F07,97667.78,97667.79,0.01,0.01
DI1 - DI de 1 dia,G07,96611.35,96610.75,-0.6,0.6
DI1 - DI de 1 dia,J07,94735.88,94745.81,9.93,9.93
DI1 - DI de 1 dia,N07,91898.91,91913.88,14.97,14.97
DI1 - DI de 1 dia,V07,89038.25,89059.19,20.94,20.94
DI1 - DI de 1 dia,F08,86357.73,86376.88,19.15,19.15
DI1 - DI de 1 dia,J08,83757.15,83776.55,19.4,19.4
DI1 - DI de 1 dia,N08,81176.3,81175.54,-0.76,0.76
DI1 - DI de 1 dia,V08,78532.24,78491.49,-40.75,40.75
DI1 - DI de 1 dia,F09,75975.76,75945.91,-29.85,29.85
DI1 - DI de 1 dia,J09,73652.08,73620.09,-31.99,31.99
DI1 - DI de 1 dia,N09,71390.34,71356.37,-33.97,33.97
DI1 - DI de 1 dia,V09,69068.32,68996.75,-71.57,71.57
DI1 - DI de 1 dia,F10,66859.62,66770.36,-89.26,89.26
DI1 - DI de 1 dia,J10,64806.52,64708.79,-97.73,97.73
DI1 - DI de 1 dia,N10,62775.22,62673.84,-101.38,101.38
DI1 - DI de 1 dia,V10,60710.37,60605.49,-104.88,104.88
DI1 - DI de 1 dia,F11,58810.73,58702.67,-108.06,108.06
DI1 - DI de 1 dia,N11,55175.51,55084.91,-90.6,90.6
DI1 - DI de 1 dia,F12,51726.78,51563.39,-163.39,163.39
