Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
B34 - Global 2034,N08,125.0625,125.1875,0.125,104.0
B40 - Global 2040,N08,135.0313,135.0625,0.0312,25.95
BG2 - Boi gordo,K08,80.5,81.55,1.05,346.5
BG2 - Boi gordo,M08,84.0,84.75,0.75,247.5
BG2 - Boi gordo,N08,87.2,87.99,0.79,260.7
BG2 - Boi gordo,Q08,87.8,88.88,1.08,356.4
BG2 - Boi gordo,U08,89.5,90.37,0.87,287.1
BG2 - Boi gordo,V08,91.13,92.29,1.16,382.8
BG2 - Boi gordo,X08,91.5,92.48,0.98,323.4
BG2 - Boi gordo,Z08,90.49,91.0,0.51,168.3
BG2 - Boi gordo,F09,88.5,90.0,1.5,495.0
BG2 - Boi gordo,V09,93.0,93.0,0.0,0.0
BGI - Boi gordo,K08,80.5,81.55,1.05,346.5
BGI - Boi gordo,M08,84.0,84.75,0.75,247.5
BGI - Boi gordo,N08,87.2,87.99,0.79,260.7
BGI - Boi gordo,Q08,87.8,88.88,1.08,356.4
BGI - Boi gordo,U08,89.5,90.37,0.87,287.1
BGI - Boi gordo,V08,91.13,92.29,1.16,382.8
BGI - Boi gordo,X08,91.5,92.48,0.98,323.4
BGI - Boi gordo,Z08,90.49,91.0,0.51,168.3
BGI - Boi gordo,F09,88.5,90.0,1.5,495.0
BGI - Boi gordo,V09,93.0,93.0,0.0,0.0
CN2 - Milho,K08,27.49,27.49,0.0,0.0
CN2 - Milho,N08,27.6,27.61,0.01,4.5
CN2 - Milho,U08,28.01,27.86,-0.15,67.5
CN2 - Milho,X08,29.51,29.41,-0.1,45.0
CN2 - Milho,F09,31.2,31.1,-0.1,45.0
CN2 - Milho,H09,30.1,30.0,-0.1,45.0
CN2 - Milho,K09,25.6,25.5,-0.1,45.0
DAP - Cupom de DI x IPCA,K09,92229.08,92214.39,-14.69,3113.05
DAP - Cupom de DI x IPCA,Q10,83151.69,83138.45,-13.24,1038.53
DAP - Cupom de DI x IPCA,Q12,72006.98,71995.51,-11.47,37.1
DAP - Cupom de DI x IPCA,K15,60157.17,60147.59,-9.58,555.18
DDI - Cupom cambial,M08,99860.14,100166.0,305.86,354.32
DDI - Cupom cambial,N08,99634.87,99940.04,305.17,356.02
DDI - Cupom cambial,Q08,99356.7,99661.01,304.31,358.06
DDI - Cupom cambial,U08,99098.14,99401.66,303.52,370.13
DDI - Cupom cambial,V08,98738.53,99040.95,302.42,357.13
DDI - Cupom cambial,F09,97733.74,98033.08,299.34,357.52
DDI - Cupom cambial,J09,96710.33,97006.54,296.21,353.14
DDI - Cupom cambial,N09,95582.6,95875.36,292.76,314.78
DDI - Cupom cambial,V09,94397.88,94687.01,289.13,309.11
DDI - Cupom cambial,F10,93114.55,93399.75,285.2,250.42
DDI - Cupom cambial,J10,91842.71,92124.01,281.3,177.45
DDI - Cupom cambial,N10,90608.8,90886.32,277.52,136.31
DDI - Cupom cambial,V10,89370.83,89644.56,273.73,112.23
