Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
ALA - Álcool anidro,AGO2,493.0,493.0,0.0,0.0
ALA - Álcool anidro,OUT2,489.0,497.0,8.0,240.0
ALA - Álcool anidro,DEZ2,506.0,501.0,-5.0,150.0
ALA - Álcool anidro,MAR3,527.0,519.0,-8.0,240.0
ALA - Álcool anidro,MAI3,511.0,510.0,-1.0,30.0
BCB - C-Bond,OUT2,57.1563,57.1563,0.0,0.0
BGI - Boi gordo,JUL2,44.51,44.45,-0.06,19.8
BGI - Boi gordo,AGO2,45.25,45.28,0.03,9.9
BGI - Boi gordo,SET2,46.48,46.58,0.1,33.0
BGI - Boi gordo,OUT2,47.49,47.5,0.01,3.3
BGI - Boi gordo,NOV2,47.35,47.35,0.0,0.0
BGI - Boi gordo,DEZ2,47.25,47.3,0.05,16.5
BGI - Boi gordo,JAN3,47.18,47.1,-0.08,26.4
BGI - Boi gordo,FEV3,47.1,47.1,0.0,0.0
DDI - Cupom cambial,AGO2,99324.03,98785.6,-538.43,773.88
DDI - Cupom cambial,SET2,98345.07,97773.37,-571.7,821.7
DDI - Cupom cambial,OUT2,97152.02,96641.18,-510.84,734.23
DDI - Cupom cambial,NOV2,95775.96,95269.45,-506.51,728.0
DDI - Cupom cambial,JAN3,93185.0,92736.85,-448.15,644.12
DDI - Cupom cambial,ABR3,89371.71,88938.1,-433.61,623.22
DDI - Cupom cambial,JUL3,86203.92,85875.16,-328.76,472.52
DDI - Cupom cambial,OUT3,83226.12,83022.0,-204.12,293.38
DDI - Cupom cambial,JAN4,80401.89,80081.74,-320.15,460.15
DDI - Cupom cambial,ABR4,78058.95,77691.88,-367.07,527.58
DDI - Cupom cambial,JUL4,75613.77,75175.28,-438.49,630.24
DDI - Cupom cambial,OUT4,73113.39,72828.26,-285.13,409.81
DDI - Cupom cambial,JAN5,70730.6,70441.83,-288.77,415.04
