Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
ALA - Álcool anidro,MAR2,630.0,624.0,-6.0,180.0
ALA - Álcool anidro,MAI2,526.0,527.0,1.0,30.0
ALA - Álcool anidro,AGO2,365.0,365.0,0.0,0.0
ALA - Álcool anidro,OUT2,375.0,375.0,0.0,0.0
ALA - Álcool anidro,DEZ2,387.0,387.0,0.0,0.0
ALA - Álcool anidro,MAR3,402.0,402.0,0.0,0.0
BCB - C-Bond,ABR2,78.0313,78.0938,0.0625,152.37
BGI - Boi gordo,FEV2,45.25,45.4,0.15,49.5
BGI - Boi gordo,MAR2,44.15,44.31,0.16,52.8
BGI - Boi gordo,ABR2,43.76,43.81,0.05,16.5
BGI - Boi gordo,MAI2,43.7,43.73,0.03,9.9
BGI - Boi gordo,JUN2,44.62,44.63,0.01,3.3
BGI - Boi gordo,JUL2,45.81,45.81,0.0,0.0
BGI - Boi gordo,AGO2,46.05,46.1,0.05,16.5
BGI - Boi gordo,SET2,47.3,47.3,0.0,0.0
BGI - Boi gordo,OUT2,48.15,48.15,0.0,0.0
BGI - Boi gordo,NOV2,48.25,48.25,0.0,0.0
BGI - Boi gordo,DEZ2,48.2,48.05,-0.15,49.5
DDI - Cupom cambial,MAR2,100134.21,99887.74,-246.47,298.83
DDI - Cupom cambial,ABR2,100006.7,99768.04,-238.66,289.36
DDI - Cupom cambial,MAI2,99811.16,99585.83,-225.33,273.2
DDI - Cupom cambial,JUN2,99576.93,99368.02,-208.91,253.29
DDI - Cupom cambial,JUL2,99360.01,99175.74,-184.27,223.41
DDI - Cupom cambial,OUT2,98285.96,98117.13,-168.83,204.69
DDI - Cupom cambial,JAN3,96686.81,96531.23,-155.58,188.63
DDI - Cupom cambial,ABR3,94517.34,94429.2,-88.14,106.86
DDI - Cupom cambial,JUL3,92195.36,92175.1,-20.26,24.56
DDI - Cupom cambial,OUT3,90017.85,90033.85,16.0,19.39
DDI - Cupom cambial,JAN4,88037.14,88023.78,-13.36,16.19
DDI - Cupom cambial,ABR4,86082.93,86067.24,-15.69,19.02
DDI - Cupom cambial,JUL4,84169.54,84219.86,50.32,61.01
DDI - Cupom cambial,OUT4,82398.67,82432.68,34.01,41.23
DDI - Cupom cambial,JAN5,80620.29,80635.89,15.6,18.91
DDI - Cupom cambial,ABR5,78978.85,79013.94,35.09,42.54
DDI - Cupom cambial,JUL5,77246.17,77261.18,15.01,18.19
DDI - Cupom cambial,OUT5,75422.46,75563.13,140.67,170.55
DDI - Cupom cambial,JAN6,73805.8,73949.08,143.28,173.71
DDI - Cupom cambial,ABR6,72255.9,72401.39,145.49,176.39
DDI - Cupom cambial,JUL6,70709.56,70812.17,102.61,124.4
DDI - Cupom cambial,OUT6,69144.33,69247.55,103.22,125.14
DDI - Cupom cambial,JAN7,67638.28,67764.68,126.4,153.25
DI1 - DI de 1 dia,MAR2,99314.41,99314.74,0.33,0.33
DI1 - DI de 1 dia,ABR2,97962.02,97966.07,4.05,4.05
DI1 - DI de 1 dia,MAI2,96498.17,96502.61,4.44,4.44
DI1 - DI de 1 dia,JUN2,95116.39,95127.44,11.05,11.05
DI1 - DI de 1 dia,JUL2,93828.73,93834.36,5.63,5.63
DI1 - DI de 1 dia,OUT2,89533.74,89595.75,62.01,62.01
DI1 - DI de 1 dia,JAN3,85394.91,85472.24,77.33,77.33
DI1 - DI de 1 dia,ABR3,81308.62,81418.52,109.9,109.9
DI1 - DI de 1 dia,JUL3,76994.24,77181.0,186.76,186.76
DI1 - DI de 1 dia,OUT3,72595.19,72853.0,257.81,257.81
DI1 - DI de 1 dia,JAN4,68507.37,68857.69,350.32,350.32
DI1 - DI de 1 dia,ABR4,64576.65,64997.0,420.35,420.35
DI1 - DI de 1 dia,JUL4,60733.99,61262.0,528.01,528.01
DI1 - DI de 1 dia,OUT4,56949.38,57575.0,625.62,625.62
DI1 - DI de 1 dia,JAN5,53508.0,54214.0,706.0,706.0
DOL - Dólar comercial,MAR2,2444.918,2438.895,-6.023,301.15
DOL - Dólar comercial,ABR2,2475.918,2469.395,-6.523,326.15
DOL - Dólar comercial,MAI2,2508.152,2502.375,-5.777,288.85
DOL - Dólar comercial,JUN2,2538.618,2532.997,-5.621,281.05
DOL - Dólar comercial,JUL2,2567.85,2562.934,-4.916,245.8
DOL - Dólar comercial,AGO2,2600.256,2594.83,-5.426,271.3
DOL - Dólar comercial,SET2,2631.636,2625.711,-5.925,296.25
DOL - Dólar comercial,OUT2,2661.942,2655.53,-6.412,320.6
DOL - Dólar comercial,NOV2,2691.691,2685.107,-6.584,329.2
DOL - Dólar comercial,DEZ2,2717.83,2711.094,-6.736,336.8
DOL - Dólar comercial,JAN3,2745.548,2738.65,-6.898,344.9
DOL - Dólar comercial,MAR3,2769.362,2762.615,-6.747,337.35
DOL - Dólar comercial,ABR3,2818.829,2812.399,-6.43,321.5
DOL - Dólar comercial,JUN3,2875.564,2868.313,-7.251,362.55
DOM - Dólar comercial fracionário,MAR2,2444.918,2438.895,-6.023,30.11
DOM - Dólar comercial fracionário,OUT2,2661.942,2655.53,-6.412,32.06
EUR - Euro (em Reais),MAR2,2139.155,2128.185,-10.97,548.5
FRC - FRA de cupom,ABR2,1.48,1.39,-0.09,0.04
FRC - FRA de cupom,MAI2,1.88,1.76,-0.12,0.06
FRC - FRA de cupom,JUN2,2.14,2.0,-0.14,0.07
FRC - FRA de cupom,JUL2,2.3,2.12,-0.18,0.09
FRC - FRA de cupom,OUT2,3.16,3.04,-0.12,0.06
FRC - FRA de cupom,JAN3,4.18,4.08,-0.1,0.05
FRC - FRA de cupom,ABR3,5.4,5.26,-0.14,0.07
FRC - FRA de cupom,JUL3,6.37,6.19,-0.18,0.09
FRC - FRA de cupom,OUT3,6.99,6.8,-0.19,0.09
FRC - FRA de cupom,JAN4,7.36,7.22,-0.14,0.07
FRC - FRA de cupom,ABR4,7.71,7.59,-0.12,0.06
FRC - FRA de cupom,JUL4,8.0,7.85,-0.15,0.07
FRC - FRA de cupom,OUT4,8.2,8.07,-0.13,0.06
FRC - FRA de cupom,JAN5,8.39,8.27,-0.12,0.06
FRC - FRA de cupom,ABR5,8.56,8.44,-0.12,0.06
FRC - FRA de cupom,JUL5,8.76,8.66,-0.1,0.05
FRC - FRA de cupom,OUT5,8.99,8.83,-0.16,0.08
FRC - FRA de cupom,JAN6,9.15,9.0,-0.15,0.07
FRC - FRA de cupom,ABR6,9.3,9.15,-0.15,0.07
FRC - FRA de cupom,JUL6,9.45,9.33,-0.12,0.06
FRC - FRA de cupom,OUT6,9.63,9.5,-0.13,0.06
FRC - FRA de cupom,JAN7,9.78,9.65,-0.13,0.06
ICF - Café Arábica 4/5,MAR2,52.45,52.55,0.1,24.25
ICF - Café Arábica 4/5,MAI2,51.8,51.7,-0.1,24.25
ICF - Café Arábica 4/5,JUL2,51.9,51.9,0.0,0.0
ICF - Café Arábica 4/5,SET2,51.8,51.75,-0.05,12.12
ICF - Café Arábica 4/5,DEZ2,54.0,54.2,0.2,48.5
ICF - Café Arábica 4/5,MAR3,56.0,56.0,0.0,0.0
IND - Ibovespa,ABR2,13530.0,13560.0,30.0,90.0
IND - Ibovespa,AGO2,14330.0,14359.0,29.0,87.0
INF - Ibovespa fracionário,ABR2,13530.0,13560.0,30.0,9.0
