Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
BCB - C-Bond,ABR0,69.2813,69.4375,0.1562,279.59
BEI - EI-Bond,ABR0,85.3125,85.3125,0.0,0.0
DDI - Cupom cambial,MAR0,99317.39,98999.01,-318.38,285.45
DDI - Cupom cambial,ABR0,98678.09,98333.79,-344.3,308.69
DDI - Cupom cambial,MAI0,98005.04,97680.1,-324.94,291.34
DDI - Cupom cambial,JUN0,97279.13,96914.88,-364.25,326.58
DDI - Cupom cambial,JUL0,96441.72,96143.57,-298.15,267.32
DDI - Cupom cambial,AGO0,95672.17,95372.7,-299.47,268.5
DDI - Cupom cambial,SET0,94856.86,94438.61,-418.25,375.0
DDI - Cupom cambial,OUT0,94047.77,93730.16,-317.61,284.76
DDI - Cupom cambial,NOV0,93171.02,92983.97,-187.05,167.7
DDI - Cupom cambial,DEZ0,92353.78,92022.42,-331.36,297.09
DDI - Cupom cambial,JAN1,91487.61,91214.87,-272.74,244.53
DDI - Cupom cambial,FEV1,90597.08,90295.72,-301.36,270.19
DDI - Cupom cambial,MAR1,89861.51,89540.88,-320.63,287.47
DDI - Cupom cambial,ABR1,88903.95,88738.25,-165.7,148.56
DDI - Cupom cambial,MAI1,88036.3,87940.54,-95.76,85.85
DDI - Cupom cambial,JUN1,87217.57,86991.19,-226.38,202.97
DDI - Cupom cambial,JUL1,86324.71,86220.52,-104.19,93.41
DDI - Cupom cambial,AGO1,85454.69,85369.15,-85.54,76.69
DDI - Cupom cambial,SET1,84514.36,84391.15,-123.21,110.47
DDI - Cupom cambial,OUT1,83749.66,83640.79,-108.87,97.61
DDI - Cupom cambial,NOV1,82677.63,82704.63,27.0,24.2
DDI - Cupom cambial,DEZ1,81947.15,81806.1,-141.05,126.46
DDI - Cupom cambial,JAN2,81019.0,81017.22,-1.78,1.59
DDI - Cupom cambial,JAN3,70956.12,70713.02,-243.1,217.96
DI1 - DI de 1 dia,MAR0,98638.55,98638.09,-0.46,0.46
DI1 - DI de 1 dia,ABR0,97206.13,97205.44,-0.69,0.69
DI1 - DI de 1 dia,MAI0,95886.23,95892.27,6.04,6.04
DI1 - DI de 1 dia,JUN0,94349.19,94360.0,10.81,10.81
DI1 - DI de 1 dia,JUL0,92882.51,92890.95,8.44,8.44
DI1 - DI de 1 dia,AGO0,91407.19,91419.0,11.81,11.81
DI1 - DI de 1 dia,SET0,89801.09,89810.0,8.91,8.91
DI1 - DI de 1 dia,OUT0,88410.15,88420.0,9.85,9.85
DI1 - DI de 1 dia,NOV0,86968.21,86970.0,1.79,1.79
DI1 - DI de 1 dia,DEZ0,85598.24,85600.0,1.76,1.76
DI1 - DI de 1 dia,JAN1,84262.33,84225.0,-37.33,37.33
DI1 - DI de 1 dia,FEV1,82791.33,82745.0,-46.33,46.33
DI1 - DI de 1 dia,MAR1,81575.5,81545.0,-30.5,30.5
DI1 - DI de 1 dia,JUL1,76133.49,76100.0,-33.49,33.49
DI1 - DI de 1 dia,NOV1,70766.18,70790.0,23.82,23.82
DI1 - DI de 1 dia,JAN2,68342.9,68440.0,97.1,97.1
DI1 - DI de 1 dia,JAN3,54103.54,54150.0,46.46,46.46
DOL - Dólar comercial,MAR0,1804.76,1798.571,-6.189,309.45
DOL - Dólar comercial,ABR0,1820.271,1813.847,-6.424,321.2
DOL - Dólar comercial,MAI0,1833.0,1827.0,-6.0,300.0
DOL - Dólar comercial,JUN0,1849.0,1843.0,-6.0,300.0
DOL - Dólar comercial,JUL0,1863.0,1858.0,-5.0,250.0
ICF - Café Arábica 4/5,MAR0,134.25,135.3,1.05,187.86
ICF - Café Arábica 4/5,MAI0,140.0,140.7,0.7,125.24
ICF - Café Arábica 4/5,JUL0,136.2,137.5,1.3,232.59
ICF - Café Arábica 4/5,SET0,137.0,138.0,1.0,178.92
ICF - Café Arábica 4/5,DEZ0,142.0,143.2,1.2,214.7
ICF - Café Arábica 4/5,MAR1,144.0,145.0,1.0,178.92
ICN - Milho,MAR0,6.48,6.48,0.0,0.0
ICO - Algodão,MAR0,50.0,49.7,-0.3,150.87
ICO - Algodão,MAI0,49.5,49.0,-0.5,251.45
ICO - Algodão,JUL0,51.0,51.0,0.0,0.0
ICO - Algodão,OUT0,54.0,54.0,0.0,0.0
ILC - Boi Gordo (US$/arroba),FEV0,21.78,21.75,-0.03,9.9
ILC - Boi Gordo (US$/arroba),ABR0,19.85,19.75,-0.1,33.0
ILC - Boi Gordo (US$/arroba),MAI0,19.3,19.0,-0.3,99.0
ILC - Boi Gordo (US$/arroba),JUL0,20.75,20.75,0.0,0.0
ILC - Boi Gordo (US$/arroba),AGO0,20.95,20.85,-0.1,33.0
ILC - Boi Gordo (US$/arroba),OUT0,22.25,22.25,0.0,0.0
IND - Ibovespa,FEV0,16675.0,16979.0,304.0,912.0
ISO - Soja,MAI0,10.8,10.8,0.0,0.0
MIL - Milho cambial,MAR0,6.4,6.5,0.1,80.55
MIL - Milho cambial,MAI0,6.32,6.42,0.1,80.55
MIL - Milho cambial,JUL0,6.51,6.6,0.09,72.49
SOY - Soja FOB Santos,FEV0,11.1,11.0,-0.1,80.55
SOY - Soja FOB Santos,MAR0,10.47,10.47,0.0,0.0
SOY - Soja FOB Santos,MAI0,10.5,10.42,-0.08,64.44
SOY - Soja FOB Santos,JUL0,10.78,10.78,0.0,0.0
SOY - Soja FOB Santos,SET0,11.1,11.1,0.0,0.0
SUG - Açúcar cambial,MAR0,10.7,10.8,0.1,48.33
