Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
AUD - Dólar Australiano (em Reais),K13,2079.37,2066.761,-12.609,756.54
AUD - Dólar Australiano (em Reais),M13,2083.905,2071.295,-12.61,756.6
AUD - Dólar Australiano (em Reais),N13,2089.178,2076.529,-12.649,758.94
B20 - Global 2020,N13,162.2812,162.3125,0.0313,31.43
BGI - Boi gordo,J13,99.86,100.05,0.19,62.7
BGI - Boi gordo,K13,97.1,97.22,0.12,39.6
BGI - Boi gordo,M13,95.84,96.0,0.16,52.8
BGI - Boi gordo,N13,98.0,97.66,-0.34,112.2
BGI - Boi gordo,Q13,98.25,98.0,-0.25,82.5
BGI - Boi gordo,U13,100.4,100.39,-0.01,3.3
BGI - Boi gordo,V13,101.02,101.12,0.1,33.0
BGI - Boi gordo,X13,101.5,101.5,0.0,0.0
BGI - Boi gordo,Z13,100.22,100.22,0.0,0.0
BRI - Futuro do Índice Brasil 50,M13,8399.0,8513.0,114.0,1140.0
CAD - Dólar Canadense (em Reais),K13,1970.757,1960.221,-10.536,632.16
CAD - Dólar Canadense (em Reais),M13,1978.606,1968.054,-10.552,633.12
CCM - Milho,K13,24.72,24.66,-0.06,27.0
CCM - Milho,N13,24.68,24.7,0.02,9.0
CCM - Milho,U13,23.97,24.07,0.1,45.0
CCM - Milho,X13,24.25,24.4,0.15,67.5
CCM - Milho,F14,24.64,24.8,0.16,72.0
CHF - Franco Suíço (em Reais),K13,2171.65,2156.324,-15.326,766.3
CHF - Franco Suíço (em Reais),M13,2182.733,2166.961,-15.772,788.6
CLP - Peso Chileno (em Reais),K13,4243.805,4211.759,-32.046,801.15
DAP - Cupom de DI x IPCA,K13,99900.64,99894.3,-6.34,73.12
DAP - Cupom de DI x IPCA,Q14,96686.34,96680.2,-6.14,52.7
DAP - Cupom de DI x IPCA,K15,94484.32,94478.32,-6.0,218.03
DAP - Cupom de DI x IPCA,K17,87657.08,87651.51,-5.57,831.59
DAP - Cupom de DI x IPCA,Q20,76746.92,76742.05,-4.87,1885.87
DAP - Cupom de DI x IPCA,Q22,70207.82,70203.36,-4.46,1388.68
DDI - Cupom cambial,K13,99988.31,99648.08,-340.23,591.38
DDI - Cupom cambial,M13,99879.49,99539.63,-339.86,590.58
DDI - Cupom cambial,N13,99770.91,99431.42,-339.49,592.05
DDI - Cupom cambial,Q13,99644.8,99305.74,-339.06,592.81
DDI - Cupom cambial,V13,99402.9,99064.66,-338.24,590.33
DDI - Cupom cambial,F14,99028.47,98691.51,-336.96,590.55
DDI - Cupom cambial,J14,98620.86,98285.28,-335.58,574.85
DDI - Cupom cambial,N14,98179.35,97845.28,-334.07,577.47
DDI - Cupom cambial,V14,97694.98,97362.56,-332.42,601.02
DDI - Cupom cambial,F15,97228.63,96897.79,-330.84,590.19
DDI - Cupom cambial,J15,96744.26,96415.07,-329.19,581.18
DDI - Cupom cambial,N15,96200.05,95872.71,-327.34,581.91
DDI - Cupom cambial,V15,95588.56,95263.3,-325.26,609.9
DDI - Cupom cambial,F16,94986.56,94663.35,-323.21,613.83
DDI - Cupom cambial,J16,94378.34,94057.2,-321.14,605.43
DDI - Cupom cambial,N16,93707.9,93389.04,-318.86,606.82
DDI - Cupom cambial,V16,92970.0,92653.65,-316.35,623.23
DDI - Cupom cambial,F17,92256.62,91942.7,-313.92,655.0
DDI - Cupom cambial,J17,91491.07,91179.75,-311.32,675.45
DDI - Cupom cambial,N17,90739.94,90431.18,-308.76,614.55
DDI - Cupom cambial,V17,89863.23,89557.45,-305.78,647.92
DDI - Cupom cambial,F18,89032.91,88729.96,-302.95,638.71
DDI - Cupom cambial,J18,88197.9,87897.79,-300.11,699.64
DDI - Cupom cambial,N18,87382.17,87084.84,-297.33,759.3
DDI - Cupom cambial,V18,86472.45,86178.21,-294.24,770.92
DDI - Cupom cambial,F19,85662.98,85371.5,-291.48,738.4
DDI - Cupom cambial,J19,84827.06,84538.42,-288.64,739.9
DDI - Cupom cambial,N19,84015.07,83729.19,-285.88,785.02
DDI - Cupom cambial,V19,83101.32,82818.55,-282.77,778.88
DDI - Cupom cambial,F20,82265.3,81985.38,-279.92,771.68
DDI - Cupom cambial,F21,78914.09,78645.57,-268.52,754.03
DDI - Cupom cambial,F22,75669.28,75411.8,-257.48,746.14
DDI - Cupom cambial,F23,72550.47,72303.6,-246.87,764.67
DDI - Cupom cambial,F24,69635.08,69398.13,-236.95,712.48
DDI - Cupom cambial,F25,66628.07,66401.36,-226.71,692.39
DI1 - DI de 1 dia,K13,99805.14,99777.46,-27.68,0.22
DI1 - DI de 1 dia,M13,99222.09,99194.57,-27.52,0.96
DI1 - DI de 1 dia,N13,98647.03,98619.67,-27.36,3.02
DI1 - DI de 1 dia,Q13,97974.26,97947.09,-27.17,1.06
DI1 - DI de 1 dia,V13,96698.3,96671.48,-26.82,10.76
DI1 - DI de 1 dia,F14,94787.39,94761.1,-26.29,16.62
DI1 - DI de 1 dia,J14,92958.33,92932.55,-25.78,46.8
DI1 - DI de 1 dia,N14,91121.65,91096.38,-25.27,47.56
DI1 - DI de 1 dia,V14,89157.26,89132.53,-24.73,32.88
DI1 - DI de 1 dia,F15,87179.38,87155.2,-24.18,65.58
DI1 - DI de 1 dia,J15,85302.97,85279.31,-23.66,73.21
DI1 - DI de 1 dia,N15,83452.55,83429.41,-23.14,80.52
DI1 - DI de 1 dia,V15,81568.16,81545.54,-22.62,10.52
DI1 - DI de 1 dia,F16,79713.19,79691.08,-22.11,15.43
DI1 - DI de 1 dia,J16,77984.03,77962.4,-21.63,46.78
DI1 - DI de 1 dia,N16,76220.67,76199.53,-21.14,49.37
DI1 - DI de 1 dia,V16,74452.16,74431.51,-20.65,77.84
DI1 - DI de 1 dia,F17,72802.03,72781.84,-20.19,103.53
DI1 - DI de 1 dia,J17,71179.37,71159.63,-19.74,107.8
