Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
AUD - Dólar Australiano (em Reais),N12,2060.272,2087.993,27.721,1663.26
AUD - Dólar Australiano (em Reais),Q12,2065.787,2093.569,27.782,1666.92
AUD - Dólar Australiano (em Reais),U12,2070.764,2098.488,27.724,1663.44
B20 - Global 2020,N12,169.4062,169.5,0.0938,96.77
B40 - Global 2040,N12,129.0937,129.0,-0.0937,96.67
BGI - Boi gordo,M12,92.97,93.29,0.32,105.6
BGI - Boi gordo,N12,94.65,94.71,0.06,19.8
BGI - Boi gordo,Q12,95.7,96.08,0.38,125.4
BGI - Boi gordo,U12,97.8,98.03,0.23,75.9
BGI - Boi gordo,V12,100.01,100.28,0.27,89.1
BGI - Boi gordo,X12,100.88,100.99,0.11,36.3
BGI - Boi gordo,Z12,100.35,100.59,0.24,79.2
CAD - Dólar Canadense (em Reais),N12,1998.961,2015.224,16.263,975.78
CAD - Dólar Canadense (em Reais),Q12,2008.807,2025.158,16.351,981.06
CAD - Dólar Canadense (em Reais),U12,2018.617,2034.971,16.354,981.24
CCM - Milho,N12,23.41,23.5,0.09,40.5
CCM - Milho,U12,22.97,23.18,0.21,94.5
CCM - Milho,X12,23.47,23.65,0.18,81.0
CCM - Milho,F13,25.05,25.0,-0.05,22.5
CCM - Milho,H13,23.8,23.75,-0.05,22.5
CCM - Milho,K13,23.7,23.65,-0.05,22.5
CHF - Franco Suíço (em Reais),N12,2152.17,2163.097,10.927,546.35
DAP - Cupom de DI x IPCA,Q12,98994.81,98965.2,-29.61,10.09
DAP - Cupom de DI x IPCA,K13,96986.11,96957.1,-29.01,1.61
DAP - Cupom de DI x IPCA,Q14,92793.06,92765.3,-27.76,169.98
DAP - Cupom de DI x IPCA,K15,89608.96,89582.16,-26.8,261.56
DAP - Cupom de DI x IPCA,K17,81369.88,81345.54,-24.34,596.56
DAP - Cupom de DI x IPCA,Q20,69476.77,69455.99,-20.78,562.28
DDI - Cupom cambial,N12,99825.62,100726.24,900.62,973.53
DDI - Cupom cambial,Q12,99712.78,100612.39,899.61,971.71
DDI - Cupom cambial,U12,99585.13,100483.58,898.45,966.93
DDI - Cupom cambial,V12,99416.13,100313.06,896.93,957.85
DDI - Cupom cambial,F13,98872.04,99764.06,892.02,939.89
DDI - Cupom cambial,J13,98213.27,99099.35,886.08,927.44
DDI - Cupom cambial,N13,97508.68,98388.4,879.72,908.55
DDI - Cupom cambial,V13,96719.32,97591.92,872.6,914.87
DDI - Cupom cambial,F14,95823.98,96688.5,864.52,929.68
DDI - Cupom cambial,J14,95010.5,95867.68,857.18,881.68
DDI - Cupom cambial,N14,94206.2,95056.13,849.93,858.06
DDI - Cupom cambial,V14,93387.44,94229.98,842.54,810.58
DDI - Cupom cambial,F15,92545.43,93380.37,834.94,775.06
DDI - Cupom cambial,J15,91721.16,92548.67,827.51,761.93
DDI - Cupom cambial,N15,90805.36,91624.6,819.24,720.63
DDI - Cupom cambial,V15,89851.2,90661.83,810.63,597.01
DDI - Cupom cambial,F16,88961.42,89764.03,802.61,590.35
DDI - Cupom cambial,J16,88195.89,88991.59,795.7,591.83
DDI - Cupom cambial,N16,87277.5,88064.91,787.41,644.51
DDI - Cupom cambial,V16,86453.67,87233.65,779.98,663.24
DDI - Cupom cambial,F17,85476.74,86247.91,771.17,700.0
DDI - Cupom cambial,J17,84555.31,85318.17,762.86,626.48
DDI - Cupom cambial,N17,83697.22,84452.33,755.11,615.22
DDI - Cupom cambial,V17,82724.03,83470.36,746.33,556.56
DDI - Cupom cambial,F18,81849.31,82587.75,738.44,569.08
DDI - Cupom cambial,J18,81064.4,81795.76,731.36,538.66
DDI - Cupom cambial,N18,80194.9,80918.42,723.52,501.03
DDI - Cupom cambial,V18,79243.7,79958.63,714.93,456.07
DDI - Cupom cambial,F19,78399.27,79106.59,707.32,409.65
DDI - Cupom cambial,F20,75224.1,75902.77,678.67,532.18
DDI - Cupom cambial,F21,72232.58,72884.26,651.68,404.2
DDI - Cupom cambial,F22,69260.81,69885.68,624.87,95.34
DDI - Cupom cambial,F24,64758.68,65342.93,584.25,304.54
DDI - Cupom cambial,F25,61623.23,62179.19,555.96,325.61
DI1 - DI de 1 dia,N12,99714.53,99682.81,-31.72,0.06
DI1 - DI de 1 dia,Q12,99042.7,99011.19,-31.51,0.65
DI1 - DI de 1 dia,U12,98365.61,98334.32,-31.29,0.54
DI1 - DI de 1 dia,V12,97831.08,97799.96,-31.12,1.09
DI1 - DI de 1 dia,F13,96101.5,96070.93,-30.57,7.56
DI1 - DI de 1 dia,J13,94451.09,94421.05,-30.04,11.43
DI1 - DI de 1 dia,N13,92688.87,92659.39,-29.48,24.52
DI1 - DI de 1 dia,V13,90742.47,90713.6,-28.87,1.57
DI1 - DI de 1 dia,F14,88763.27,88735.03,-28.24,49.95
DI1 - DI de 1 dia,J14,86870.98,86843.35,-27.63,71.45
DI1 - DI de 1 dia,N14,84938.89,84911.87,-27.02,79.78
DI1 - DI de 1 dia,V14,82830.6,82804.25,-26.35,88.21
DI1 - DI de 1 dia,F15,80803.84,80778.14,-25.7,152.68
DI1 - DI de 1 dia,J15,78806.86,78781.79,-25.07,112.76
DI1 - DI de 1 dia,N15,76860.73,76836.28,-24.45,130.29
DI1 - DI de 1 dia,V15,74862.96,74839.15,-23.81,160.22
DI1 - DI de 1 dia,F16,72900.75,72877.56,-23.19,167.82
DI1 - DI de 1 dia,J16,71074.54,71051.93,-22.61,179.6
DI1 - DI de 1 dia,N16,69239.06,69217.04,-22.02,173.68
DI1 - DI de 1 dia,V16,67393.15,67371.71,-21.44,177.09
DI1 - DI de 1 dia,F17,65677.0,65656.11,-20.89,193.17
DI1 - DI de 1 dia,J17,63978.67,63958.32,-20.35,228.95
DI1 - DI de 1 dia,N17,62374.13,62354.29,-19.84,259.88
DI1 - DI de 1 dia,V17,60731.07,60711.75,-19.32,268.5
DI1 - DI de 1 dia,F18,59205.95,59187.12,-18.83,240.98
DI1 - DI de 1 dia,J18,57769.8,57751.42,-18.38,263.35
DI1 - DI de 1 dia,N18,56321.45,56303.53,-17.92,283.0
DI1 - DI de 1 dia,V18,54887.59,54870.13,-17.46,302.78
DI1 - DI de 1 dia,F19,53533.85,53516.82,-17.03,319.31
DI1 - DI de 1 dia,F20,48188.04,48172.71,-15.33,265.57
DI1 - DI de 1 dia,V20,44581.88,44567.7,-14.18,365.8
DI1 - DI de 1 dia,F21,43441.6,43427.78,-13.82,270.55
DI1 - DI de 1 dia,F22,38964.77,38952.38,-12.39,303.78
DI1 - DI de 1 dia,F23,35034.03,35022.89,-11.14,334.19
DOL - Dólar comercial,N12,2046.165,2065.701,19.536,976.8
DOL - Dólar comercial,Q12,2057.719,2077.36,19.641,982.05
DOL - Dólar comercial,U12,2069.304,2088.981,19.677,983.85
DOL - Dólar comercial,V12,2077.266,2096.831,19.565,978.25
DOL - Dólar comercial,X12,2086.534,2106.043,19.509,975.45
DOL - Dólar comercial,Z12,2094.991,2114.447,19.456,972.8
DOL - Dólar comercial,F13,2103.485,2122.886,19.401,970.05
DOL - Dólar comercial,G13,2111.783,2131.18,19.397,969.85
DOL - Dólar comercial,H13,2118.604,2137.997,19.393,969.65
DOL - Dólar comercial,J13,2126.202,2145.589,19.387,969.35
DOL - Dólar comercial,K13,2135.061,2154.331,19.27,963.5
DOL - Dólar comercial,M13,2143.543,2162.702,19.159,957.95
DOL - Dólar comercial,N13,2151.655,2170.696,19.041,952.05
DOL - Dólar comercial,Q13,2161.176,2180.62,19.444,972.2
DOL - Dólar comercial,V13,2179.1,2199.308,20.208,1010.4
DOL - Dólar comercial,F14,2207.823,2227.534,19.711,985.55
DOL - Dólar comercial,J14,2238.27,2256.734,18.464,923.2
DOL - Dólar comercial,V14,2309.264,2326.382,17.118,855.9
