Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
ALA - Álcool anidro,OUT0,712.0,703.0,-9.0,270.0
ALA - Álcool anidro,DEZ0,735.0,729.0,-6.0,180.0
ALA - Álcool anidro,MAR1,795.0,790.0,-5.0,150.0
ALA - Álcool anidro,MAI1,820.0,805.0,-15.0,450.0
ALA - Álcool anidro,AGO1,811.0,811.0,0.0,0.0
ALA - Álcool anidro,OUT1,830.0,830.0,0.0,0.0
BCB - C-Bond,OUT0,75.2188,75.7188,0.5,908.45
BEI - EI-Bond,OUT0,93.5625,93.8125,0.25,227.11
DDI - Cupom cambial,SET0,99962.81,99626.4,-336.41,306.11
DDI - Cupom cambial,OUT0,99470.51,99141.87,-328.64,299.04
DDI - Cupom cambial,NOV0,98914.18,98542.39,-371.79,338.31
DDI - Cupom cambial,DEZ0,98252.81,97920.36,-332.45,302.51
DDI - Cupom cambial,JAN1,97562.63,97244.44,-318.19,289.53
DDI - Cupom cambial,FEV1,96877.9,96529.7,-348.2,316.84
DDI - Cupom cambial,MAR1,96203.24,95918.61,-284.63,258.99
DDI - Cupom cambial,ABR1,95467.93,95199.76,-268.17,244.02
DDI - Cupom cambial,MAI1,94774.22,94544.94,-229.28,208.63
DDI - Cupom cambial,JUN1,93991.22,93805.7,-185.52,168.81
DDI - Cupom cambial,JUL1,93309.77,93105.39,-204.38,185.97
DDI - Cupom cambial,AGO1,92527.81,92406.26,-121.55,110.6
DDI - Cupom cambial,SET1,91700.33,91649.93,-50.4,45.86
DDI - Cupom cambial,OUT1,91060.44,90954.57,-105.87,96.33
DDI - Cupom cambial,NOV1,90299.08,90230.45,-68.63,62.44
DDI - Cupom cambial,DEZ1,89593.36,89515.1,-78.26,71.21
DDI - Cupom cambial,JAN2,88895.05,88840.98,-54.07,49.2
DDI - Cupom cambial,ABR2,86770.94,86807.98,37.04,33.7
DDI - Cupom cambial,JUL2,84536.61,84620.86,84.25,76.66
DDI - Cupom cambial,OUT2,82297.68,82321.84,24.16,21.98
DDI - Cupom cambial,JAN3,80117.94,80182.58,64.64,58.81
DDI - Cupom cambial,ABR3,77947.44,78073.76,126.32,114.94
DDI - Cupom cambial,JUL3,75923.64,76116.87,193.23,175.82
DDI - Cupom cambial,OUT3,73658.21,73989.96,331.75,301.87
DI1 - DI de 1 dia,SET0,99522.22,99520.0,-2.22,2.22
DI1 - DI de 1 dia,OUT0,98329.74,98339.21,9.47,9.47
DI1 - DI de 1 dia,NOV0,97090.75,97110.0,19.25,19.25
DI1 - DI de 1 dia,DEZ0,95902.99,95949.28,46.29,46.29
DI1 - DI de 1 dia,JAN1,94731.54,94796.31,64.77,64.77
DI1 - DI de 1 dia,FEV1,93436.54,93535.0,98.46,98.46
DI1 - DI de 1 dia,MAR1,92385.91,92501.0,115.09,115.09
DI1 - DI de 1 dia,ABR1,91092.63,91230.36,137.73,137.73
DI1 - DI de 1 dia,JUL1,87537.97,87750.0,212.03,212.03
DI1 - DI de 1 dia,OUT1,83965.81,84220.0,254.19,254.19
DI1 - DI de 1 dia,NOV1,82775.09,83030.0,254.91,254.91
DI1 - DI de 1 dia,JAN2,80628.79,80900.0,271.21,271.21
DI1 - DI de 1 dia,ABR2,77506.9,77850.0,343.1,343.1
DI1 - DI de 1 dia,JUL2,74365.0,74790.0,425.0,425.0
DI1 - DI de 1 dia,JAN3,68221.28,68650.0,428.72,428.72
DI1 - DI de 1 dia,ABR3,65357.58,65357.58,0.0,0.0
DOL - Dólar comercial,SET0,1827.595,1820.618,-6.977,348.85
DOL - Dólar comercial,OUT0,1840.595,1833.618,-6.977,348.85
DOL - Dólar comercial,NOV0,1853.5,1846.5,-7.0,350.0
DOL - Dólar comercial,MAI1,1918.0,1911.0,-7.0,350.0
ICF - Café Arábica 4/5,SET0,86.0,85.5,-0.5,50.0
ICF - Café Arábica 4/5,DEZ0,90.5,90.75,0.25,25.0
ICF - Café Arábica 4/5,MAR1,95.25,95.5,0.25,25.0
ICF - Café Arábica 4/5,MAI1,98.0,98.0,0.0,0.0
ICF - Café Arábica 4/5,JUL1,98.5,98.5,0.0,0.0
ICF - Café Arábica 4/5,SET1,99.0,99.0,0.0,0.0
ICN - Milho,SET0,8.06,8.05,-0.01,4.5
ICN - Milho,NOV0,8.5,8.45,-0.05,22.5
ICN - Milho,JAN1,7.95,7.85,-0.1,45.0
ICN - Milho,MAR1,6.05,5.95,-0.1,45.0
ICN - Milho,MAI1,6.1,6.05,-0.05,22.5
ILC - Boi Gordo (US$/arroba),AGO0,22.85,22.84,-0.01,3.3
ILC - Boi Gordo (US$/arroba),SET0,23.3,23.2,-0.1,33.0
ILC - Boi Gordo (US$/arroba),OUT0,24.09,24.05,-0.04,13.2
ILC - Boi Gordo (US$/arroba),NOV0,24.2,24.3,0.1,33.0
ILC - Boi Gordo (US$/arroba),DEZ0,23.35,23.4,0.05,16.5
ILC - Boi Gordo (US$/arroba),FEV1,21.55,21.6,0.05,16.5
IND - Ibovespa,OUT0,17659.0,17794.0,135.0,405.0
ISO - Soja,SET0,10.4,10.5,0.1,45.0
ISO - Soja,NOV0,10.5,10.5,0.0,0.0
SOY - Soja FOB Santos,SET0,10.15,10.15,0.0,0.0
