Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
ALA - Álcool anidro,MAR2,620.0,621.0,1.0,30.0
ALA - Álcool anidro,MAI2,544.0,544.0,0.0,0.0
ALA - Álcool anidro,AGO2,392.0,390.0,-2.0,60.0
ALA - Álcool anidro,OUT2,390.0,393.0,3.0,90.0
ALA - Álcool anidro,DEZ2,405.0,404.0,-1.0,30.0
ALA - Álcool anidro,MAR3,427.0,425.0,-2.0,60.0
BCB - C-Bond,ABR2,76.9063,77.4375,0.5312,1261.7
BGI - Boi gordo,JAN2,45.1,45.16,0.06,19.8
BGI - Boi gordo,FEV2,43.91,43.95,0.04,13.2
BGI - Boi gordo,MAR2,43.65,43.69,0.04,13.2
BGI - Boi gordo,ABR2,43.65,43.63,-0.02,6.6
BGI - Boi gordo,MAI2,43.0,42.95,-0.05,16.5
BGI - Boi gordo,JUN2,44.1,44.14,0.04,13.2
BGI - Boi gordo,JUL2,45.54,45.58,0.04,13.2
BGI - Boi gordo,AGO2,46.15,46.08,-0.07,23.1
BGI - Boi gordo,SET2,46.95,46.9,-0.05,16.5
BGI - Boi gordo,OUT2,47.9,47.85,-0.05,16.5
BGI - Boi gordo,DEZ2,48.35,48.3,-0.05,16.5
DDI - Cupom cambial,FEV2,100922.71,100085.24,-837.47,989.93
DDI - Cupom cambial,MAR2,100907.62,100075.89,-831.73,983.14
DDI - Cupom cambial,ABR2,100814.36,100010.14,-804.22,950.62
DDI - Cupom cambial,MAI2,100635.36,99875.93,-759.43,897.68
DDI - Cupom cambial,JUL2,100194.54,99456.31,-738.23,872.62
DDI - Cupom cambial,OUT2,99310.05,98590.81,-719.24,850.17
DDI - Cupom cambial,JAN3,97802.34,97137.26,-665.08,786.15
DDI - Cupom cambial,ABR3,95737.14,95193.52,-543.62,642.58
DDI - Cupom cambial,JUL3,93496.42,93079.2,-417.22,493.17
DDI - Cupom cambial,OUT3,91208.06,91033.43,-174.63,206.42
DDI - Cupom cambial,JAN4,88818.61,88689.57,-129.04,152.53
DDI - Cupom cambial,ABR4,86582.56,86547.12,-35.44,41.89
DDI - Cupom cambial,JUL4,84408.21,84461.44,53.23,62.92
DDI - Cupom cambial,OUT4,82319.46,82587.69,268.23,317.06
DDI - Cupom cambial,JAN5,80256.97,80300.2,43.23,51.1
DDI - Cupom cambial,ABR5,78360.09,78548.96,188.87,223.25
DDI - Cupom cambial,JUL5,76505.43,76863.95,358.52,423.78
DDI - Cupom cambial,OUT5,74623.52,74899.91,276.39,326.7
DDI - Cupom cambial,JAN6,72868.94,73159.88,290.94,343.9
DDI - Cupom cambial,ABR6,71075.1,71504.84,429.74,507.97
DDI - Cupom cambial,JUL6,69587.97,69609.85,21.88,25.86
DDI - Cupom cambial,OUT6,67937.01,67892.02,-44.99,53.18
DDI - Cupom cambial,JAN7,66194.47,66189.12,-5.35,6.32
DI1 - DI de 1 dia,FEV2,99312.6,99312.75,0.15,0.15
DI1 - DI de 1 dia,MAR2,98084.75,98090.32,5.57,5.57
DI1 - DI de 1 dia,ABR2,96734.24,96750.55,16.31,16.31
DI1 - DI de 1 dia,MAI2,95260.8,95291.75,30.95,30.95
DI1 - DI de 1 dia,JUL2,92517.23,92564.48,47.25,47.25
DI1 - DI de 1 dia,OUT2,88130.87,88254.09,123.22,123.22
DI1 - DI de 1 dia,JAN3,83797.88,83981.0,183.12,183.12
DI1 - DI de 1 dia,ABR3,79560.95,79867.31,306.36,306.36
DI1 - DI de 1 dia,JUL3,75187.93,75570.0,382.07,382.07
DI1 - DI de 1 dia,OUT3,70725.85,71181.0,455.15,455.15
DI1 - DI de 1 dia,JAN4,66591.0,67107.0,516.0,516.0
DI1 - DI de 1 dia,ABR4,62590.23,63130.0,539.77,539.77
DI1 - DI de 1 dia,JUL4,58817.63,59369.0,551.37,551.37
DI1 - DI de 1 dia,OUT4,55105.06,55665.0,559.94,559.94
DOL - Dólar comercial,FEV2,2402.433,2382.491,-19.942,997.1
DOL - Dólar comercial,MAR2,2432.233,2411.991,-20.242,1012.1
DOL - Dólar comercial,ABR2,2463.815,2443.748,-20.067,1003.35
DOL - Dólar comercial,MAI2,2497.481,2477.829,-19.652,982.6
DOL - Dólar comercial,JUN2,2529.718,2509.849,-19.869,993.45
DOL - Dólar comercial,JUL2,2560.279,2540.117,-20.162,1008.1
DOL - Dólar comercial,AGO2,2595.951,2574.826,-21.125,1056.25
DOL - Dólar comercial,SET2,2630.537,2608.47,-22.067,1103.35
DOL - Dólar comercial,OUT2,2663.98,2640.994,-22.986,1149.3
DOL - Dólar comercial,NOV2,2697.813,2674.208,-23.605,1180.25
DOL - Dólar comercial,DEZ2,2727.582,2703.429,-24.153,1207.65
DOL - Dólar comercial,JAN3,2759.193,2734.454,-24.739,1236.95
DOL - Dólar comercial,MAR3,2786.962,2761.493,-25.469,1273.45
DOL - Dólar comercial,ABR3,2844.765,2817.761,-27.004,1350.2
DOL - Dólar comercial,JUN3,2908.273,2880.66,-27.613,1380.65
DOM - Dólar comercial fracionário,FEV2,2402.433,2382.491,-19.942,99.71
DOM - Dólar comercial fracionário,OUT2,2663.98,2640.994,-22.986,114.93
EUR - Euro (em Reais),FEV2,2117.723,2108.625,-9.098,454.9
FRC - FRA de cupom,MAR2,0.19,0.12,-0.07,0.03
FRC - FRA de cupom,ABR2,0.66,0.46,-0.2,0.1
FRC - FRA de cupom,MAI2,1.14,0.84,-0.3,0.15
FRC - FRA de cupom,JUL2,1.74,1.52,-0.22,0.11
FRC - FRA de cupom,OUT2,2.42,2.25,-0.17,0.08
FRC - FRA de cupom,JAN3,3.43,3.26,-0.17,0.08
FRC - FRA de cupom,ABR3,4.6,4.36,-0.24,0.12
FRC - FRA de cupom,JUL3,5.55,5.26,-0.29,0.14
FRC - FRA de cupom,OUT3,6.32,5.9,-0.42,0.21
FRC - FRA de cupom,JAN4,7.01,6.61,-0.4,0.2
FRC - FRA de cupom,ABR4,7.55,7.13,-0.42,0.21
FRC - FRA de cupom,JUL4,7.99,7.56,-0.43,0.21
FRC - FRA de cupom,OUT4,8.36,7.84,-0.52,0.26
FRC - FRA de cupom,JAN5,8.69,8.31,-0.38,0.19
FRC - FRA de cupom,ABR5,8.97,8.55,-0.42,0.21
FRC - FRA de cupom,JUL5,9.22,8.73,-0.49,0.24
FRC - FRA de cupom,OUT5,9.47,9.03,-0.44,0.22
