Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
ALA - Álcool anidro,AGO0,395.0,390.0,-5.0,150.0
ALA - Álcool anidro,OUT0,400.0,400.0,0.0,0.0
BCB - C-Bond,ABR0,74.625,74.687,0.062,108.33
BCB - C-Bond,JUL0,74.0313,74.6563,0.625,1092.06
BEI - EI-Bond,ABR0,90.5,90.725,0.225,196.57
BEI - EI-Bond,MAI0,91.0937,91.0938,0.0001,0.08
BEI - EI-Bond,JUL0,90.1562,90.4688,0.3126,273.1
DDI - Cupom cambial,ABR0,99692.4,99636.41,-55.99,49.05
DDI - Cupom cambial,MAI0,99295.83,98425.2,-870.63,762.75
DDI - Cupom cambial,JUN0,98680.44,97801.9,-878.54,769.68
DDI - Cupom cambial,JUL0,98072.76,97207.97,-864.79,757.64
DDI - Cupom cambial,AGO0,97372.12,96520.83,-851.29,745.81
DDI - Cupom cambial,SET0,96673.83,95838.74,-835.09,731.62
DDI - Cupom cambial,OUT0,96025.47,95158.8,-866.67,759.28
DDI - Cupom cambial,NOV0,95332.17,94470.83,-861.34,754.61
DDI - Cupom cambial,DEZ0,94627.0,93747.56,-879.44,770.47
DDI - Cupom cambial,JAN1,93919.6,93021.45,-898.15,786.86
DDI - Cupom cambial,FEV1,93153.43,92323.67,-829.76,726.95
DDI - Cupom cambial,MAR1,92515.21,91720.91,-794.3,695.88
DDI - Cupom cambial,ABR1,91834.2,91001.24,-832.96,729.75
DDI - Cupom cambial,MAI1,91092.95,90291.76,-801.19,701.92
DDI - Cupom cambial,JUN1,90336.15,89538.99,-797.16,698.39
DDI - Cupom cambial,JUL1,89700.57,88864.09,-836.48,732.84
DDI - Cupom cambial,AGO1,88923.03,88167.87,-755.16,661.59
DDI - Cupom cambial,SET1,88189.19,87412.69,-776.5,680.29
DDI - Cupom cambial,OUT1,87488.04,86767.9,-720.14,630.91
DDI - Cupom cambial,NOV1,86723.69,85945.52,-778.17,681.75
DDI - Cupom cambial,DEZ1,85934.53,85284.21,-650.32,569.74
DDI - Cupom cambial,JAN2,85308.43,84609.53,-698.9,612.3
DDI - Cupom cambial,ABR2,83253.21,82564.26,-688.95,603.58
DDI - Cupom cambial,JUL2,81008.64,80365.39,-643.25,563.55
DDI - Cupom cambial,OUT2,78737.55,78169.11,-568.44,498.01
DDI - Cupom cambial,JAN3,76435.77,76063.7,-372.07,325.97
DDI - Cupom cambial,ABR3,74384.91,74084.68,-300.23,263.03
DI1 - DI de 1 dia,ABR0,99931.89,99933.0,1.11,1.11
DI1 - DI de 1 dia,MAI0,98673.05,98675.79,2.74,2.74
DI1 - DI de 1 dia,JUN0,97245.09,97247.0,1.91,1.91
DI1 - DI de 1 dia,JUL0,95894.19,95908.21,14.02,14.02
DI1 - DI de 1 dia,AGO0,94563.3,94595.0,31.7,31.7
DI1 - DI de 1 dia,SET0,93152.35,93184.0,31.65,31.65
DI1 - DI de 1 dia,OUT0,91943.96,91974.46,30.5,30.5
DI1 - DI de 1 dia,NOV0,90680.7,90726.0,45.3,45.3
DI1 - DI de 1 dia,DEZ0,89484.9,89540.0,55.1,55.1
DI1 - DI de 1 dia,JAN1,88319.12,88385.0,65.88,65.88
DI1 - DI de 1 dia,FEV1,87038.26,87110.0,71.74,71.74
DI1 - DI de 1 dia,MAR1,86012.57,86085.0,72.43,72.43
DI1 - DI de 1 dia,ABR1,84751.73,84845.0,93.27,93.27
DI1 - DI de 1 dia,JUL1,81354.45,81450.0,95.55,95.55
DI1 - DI de 1 dia,OUT1,77952.18,78100.0,147.82,147.82
DI1 - DI de 1 dia,NOV1,76811.41,76960.0,148.59,148.59
DI1 - DI de 1 dia,JAN2,74790.06,75000.0,209.94,209.94
DI1 - DI de 1 dia,ABR2,71848.09,72140.0,291.91,291.91
DI1 - DI de 1 dia,JAN3,63371.21,63550.0,178.79,178.79
DI1 - DI de 1 dia,ABR3,60772.78,61000.0,227.22,227.22
DOL - Dólar comercial,ABR0,1748.332,1747.3,-1.032,51.6
DOL - Dólar comercial,MAI0,1761.502,1747.751,-13.751,687.55
DOL - Dólar comercial,JUN0,1777.0,1762.0,-15.0,750.0
DOL - Dólar comercial,JUL0,1790.0,1775.0,-15.0,750.0
DOL - Dólar comercial,SET0,1818.0,1803.0,-15.0,750.0
ICF - Café Arábica 4/5,MAI0,120.6,120.1,-0.5,50.0
ICF - Café Arábica 4/5,JUL0,123.0,122.8,-0.2,20.0
ICF - Café Arábica 4/5,SET0,122.6,122.75,0.15,15.0
ICF - Café Arábica 4/5,DEZ0,127.5,126.5,-1.0,100.0
ICF - Café Arábica 4/5,MAR1,129.5,129.0,-0.5,50.0
ICF - Café Arábica 4/5,JUL1,131.0,131.0,0.0,0.0
ICO - Algodão,JUL0,52.0,52.0,0.0,0.0
ICO - Algodão,OUT0,54.0,54.0,0.0,0.0
ILC - Boi Gordo (US$/arroba),ABR0,21.05,20.8,-0.25,82.5
ILC - Boi Gordo (US$/arroba),MAI0,20.4,20.24,-0.16,52.8
ILC - Boi Gordo (US$/arroba),JUN0,20.6,20.45,-0.15,49.5
ILC - Boi Gordo (US$/arroba),JUL0,21.48,21.38,-0.1,33.0
ILC - Boi Gordo (US$/arroba),AGO0,21.8,21.85,0.05,16.5
ILC - Boi Gordo (US$/arroba),SET0,22.4,22.35,-0.05,16.5
ILC - Boi Gordo (US$/arroba),OUT0,23.2,23.2,0.0,0.0
IND - Ibovespa,ABR0,17722.0,18014.0,292.0,876.0
ISO - Soja,MAI0,10.7,10.7,0.0,0.0
MIL - Milho cambial,MAR0,7.35,7.38,0.03,23.58
MIL - Milho cambial,MAI0,6.97,7.04,0.07,55.03
MIL - Milho cambial,JUL0,7.3,7.35,0.05,39.31
SOY - Soja FOB Santos,MAR0,10.5,10.6,0.1,78.62
SOY - Soja FOB Santos,MAI0,10.48,10.57,0.09,70.76
SOY - Soja FOB Santos,JUL0,10.82,10.9,0.08,62.9
SOY - Soja FOB Santos,SET0,11.2,11.25,0.05,39.31
SUG - Açúcar cambial,MAR0,9.98,10.03,0.05,23.58
SUG - Açúcar cambial,MAI0,7.5,7.65,0.15,70.76
SUG - Açúcar cambial,JUL0,6.7,7.05,0.35,165.11
