Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
AUD - Dólar Australiano (em Reais),J13,2096.804,2099.487,2.683,160.98
AUD - Dólar Australiano (em Reais),K13,2101.624,2106.56,4.936,296.16
AUD - Dólar Australiano (em Reais),M13,2105.704,2110.685,4.981,298.86
AUD - Dólar Australiano (em Reais),N13,2110.586,2115.591,5.005,300.3
B20 - Global 2020,N13,159.4687,158.875,-0.5937,599.19
BGI - Boi gordo,H13,98.69,98.83,0.14,46.2
BGI - Boi gordo,J13,97.65,97.88,0.23,75.9
BGI - Boi gordo,K13,96.62,96.7,0.08,26.4
BGI - Boi gordo,M13,97.15,97.15,0.0,0.0
BGI - Boi gordo,N13,97.95,98.0,0.05,16.5
BGI - Boi gordo,Q13,98.61,98.61,0.0,0.0
BGI - Boi gordo,U13,100.29,100.29,0.0,0.0
BGI - Boi gordo,V13,101.5,101.5,0.0,0.0
BGI - Boi gordo,X13,102.4,102.29,-0.11,36.3
BGI - Boi gordo,Z13,99.89,99.78,-0.11,36.3
BRI - Futuro do Índice Brasil 50,M13,8788.0,8846.0,58.0,580.0
CAD - Dólar Canadense (em Reais),J13,1975.65,1982.184,6.534,392.04
CAD - Dólar Canadense (em Reais),K13,1983.675,1994.159,10.484,629.04
CAD - Dólar Canadense (em Reais),M13,1990.982,2001.521,10.539,632.34
CCM - Milho,K13,26.6,26.09,-0.51,229.5
CCM - Milho,N13,26.35,25.9,-0.45,202.5
CCM - Milho,U13,25.5,24.95,-0.55,247.5
CCM - Milho,X13,25.99,25.36,-0.63,283.5
CHF - Franco Suíço (em Reais),J13,2106.114,2126.617,20.503,1025.15
CHF - Franco Suíço (em Reais),K13,2115.907,2138.906,22.999,1149.95
CHF - Franco Suíço (em Reais),M13,2126.336,2149.489,23.153,1157.65
CLP - Peso Chileno (em Reais),J13,4248.139,4268.786,20.647,516.17
CNY - Iuan Chinês Onshore (em Reais),J13,3226.53,3240.59,14.06,492.1
DAP - Cupom de DI x IPCA,K13,99770.93,99769.98,-0.95,23.3
DAP - Cupom de DI x IPCA,Q14,96482.53,96481.61,-0.92,16.59
DAP - Cupom de DI x IPCA,K15,94129.86,94128.97,-0.89,53.69
DAP - Cupom de DI x IPCA,K17,87065.76,87064.93,-0.83,43.69
DAP - Cupom de DI x IPCA,Q20,76414.45,76413.72,-0.73,179.98
DAP - Cupom de DI x IPCA,Q22,70045.14,70044.47,-0.67,444.91
DDI - Cupom cambial,J13,99999.99,99740.34,-259.65,275.46
DDI - Cupom cambial,K13,100136.69,99876.68,-260.01,526.12
DDI - Cupom cambial,M13,100016.49,99756.79,-259.7,525.97
DDI - Cupom cambial,N13,99907.04,99647.63,-259.41,523.63
DDI - Cupom cambial,V13,99541.61,99283.15,-258.46,520.41
DDI - Cupom cambial,F14,99111.74,98854.39,-257.35,523.1
DDI - Cupom cambial,J14,98662.49,98406.31,-256.18,519.91
DDI - Cupom cambial,N14,98202.45,97947.46,-254.99,531.94
DDI - Cupom cambial,V14,97669.48,97415.88,-253.6,528.84
DDI - Cupom cambial,F15,97127.96,96875.76,-252.2,520.93
DDI - Cupom cambial,J15,96578.08,96327.31,-250.77,526.96
DDI - Cupom cambial,N15,96034.8,95785.44,-249.36,554.08
DDI - Cupom cambial,V15,95446.49,95198.66,-247.83,584.93
DDI - Cupom cambial,F16,94772.18,94526.1,-246.08,568.97
DDI - Cupom cambial,J16,94106.79,93862.44,-244.35,575.05
DDI - Cupom cambial,N16,93400.53,93158.01,-242.52,580.86
DDI - Cupom cambial,V16,92653.72,92413.14,-240.58,586.4
DDI - Cupom cambial,F17,91739.56,91501.35,-238.21,557.88
DDI - Cupom cambial,J17,90957.02,90720.85,-236.17,526.89
DDI - Cupom cambial,N17,89979.84,89746.2,-233.64,526.51
DDI - Cupom cambial,V17,89225.38,88993.7,-231.68,600.0
DDI - Cupom cambial,F18,88340.74,88111.36,-229.38,564.75
DDI - Cupom cambial,J18,87489.38,87262.21,-227.17,487.96
DDI - Cupom cambial,N18,86618.21,86393.3,-224.91,446.23
DDI - Cupom cambial,V18,85816.61,85593.78,-222.83,443.65
DDI - Cupom cambial,F19,84869.29,84648.92,-220.37,440.28
DDI - Cupom cambial,J19,83977.74,83759.69,-218.05,394.09
DDI - Cupom cambial,N19,83108.76,82892.96,-215.8,390.08
DDI - Cupom cambial,V19,82138.49,81925.21,-213.28,341.05
DDI - Cupom cambial,F20,81244.38,81033.43,-210.95,336.17
DDI - Cupom cambial,F21,77803.71,77601.69,-202.02,269.94
DDI - Cupom cambial,F22,74481.98,74288.58,-193.4,201.69
DDI - Cupom cambial,F23,71296.65,71111.53,-185.12,133.15
DDI - Cupom cambial,F24,67867.23,67691.01,-176.22,16.01
DDI - Cupom cambial,F25,64568.68,64401.02,-167.66,3.71
DI1 - DI de 1 dia,J13,99999.99,99973.12,-26.87,0.23
DI1 - DI de 1 dia,K13,99408.97,99382.26,-26.71,0.76
DI1 - DI de 1 dia,M13,98843.3,98816.74,-26.56,1.41
DI1 - DI de 1 dia,N13,98287.81,98261.4,-26.41,4.14
DI1 - DI de 1 dia,V13,96368.43,96342.53,-25.9,7.53
DI1 - DI de 1 dia,F14,94427.51,94402.13,-25.38,17.61
DI1 - DI de 1 dia,J14,92593.39,92568.51,-24.88,22.93
DI1 - DI de 1 dia,N14,90687.88,90663.51,-24.37,27.84
DI1 - DI de 1 dia,V14,88614.09,88590.28,-23.81,57.84
DI1 - DI de 1 dia,F15,86564.95,86541.69,-23.26,51.97
DI1 - DI de 1 dia,J15,84638.1,84615.36,-22.74,57.81
DI1 - DI de 1 dia,N15,82682.01,82659.79,-22.22,114.9
DI1 - DI de 1 dia,V15,80660.02,80638.34,-21.68,162.37
DI1 - DI de 1 dia,F16,78753.38,78732.22,-21.16,134.27
DI1 - DI de 1 dia,J16,76931.25,76910.58,-20.67,142.76
DI1 - DI de 1 dia,N16,75001.79,74981.63,-20.16,240.6
DI1 - DI de 1 dia,V16,73118.26,73098.61,-19.65,257.93
DI1 - DI de 1 dia,F17,71365.22,71346.04,-19.18,264.52
DI1 - DI de 1 dia,J17,69653.99,69635.27,-18.72,275.51
DI1 - DI de 1 dia,N17,68043.68,68025.39,-18.29,312.16
DI1 - DI de 1 dia,V17,66305.05,66287.23,-17.82,366.32
DI1 - DI de 1 dia,F18,64716.73,64699.34,-17.39,388.12
DI1 - DI de 1 dia,J18,63184.21,63167.23,-16.98,421.56
DI1 - DI de 1 dia,N18,61638.08,61621.52,-16.56,455.75
DI1 - DI de 1 dia,V18,60106.61,60090.46,-16.15,490.42
DI1 - DI de 1 dia,F19,58659.53,58643.77,-15.76,518.78
DI1 - DI de 1 dia,J19,57251.43,57236.04,-15.39,537.24
DI1 - DI de 1 dia,N19,55857.79,55842.78,-15.01,552.25
DI1 - DI de 1 dia,V19,54409.72,54395.1,-14.62,570.43
DI1 - DI de 1 dia,F20,53040.97,53026.72,-14.25,584.56
DI1 - DI de 1 dia,J20,51709.32,51695.42,-13.9,574.04
DI1 - DI de 1 dia,N20,50435.21,50421.66,-13.55,559.16
DI1 - DI de 1 dia,V20,49108.19,49094.99,-13.2,550.36
DI1 - DI de 1 dia,F21,47858.34,47845.48,-12.86,537.25
DI1 - DI de 1 dia,N21,45490.58,45478.36,-12.22,577.47
DI1 - DI de 1 dia,F22,43149.44,43137.84,-11.6,616.5
DI1 - DI de 1 dia,N22,41047.3,41036.27,-11.03,602.28
DI1 - DI de 1 dia,F23,38998.73,38988.25,-10.48,586.21
DI1 - DI de 1 dia,F25,32149.14,32140.5,-8.64,583.97
DOL - Dólar comercial,J13,2008.286,2013.8,5.514,275.7
DOL - Dólar comercial,K13,2017.933,2028.535,10.602,530.1
DOL - Dólar comercial,M13,2027.028,2037.702,10.674,533.7
DOL - Dólar comercial,N13,2036.232,2046.976,10.744,537.2
DOL - Dólar comercial,Q13,2047.64,2058.463,10.823,541.15
DOL - Dólar comercial,U13,2058.615,2069.506,10.891,544.55
DOL - Dólar comercial,V13,2069.144,2080.11,10.966,548.3
DOL - Dólar comercial,X13,2080.974,2092.113,11.139,556.95
DOL - Dólar comercial,Z13,2091.308,2102.619,11.311,565.55
DOL - Dólar comercial,F14,2102.223,2113.698,11.475,573.75
DOL - Dólar comercial,G14,2113.64,2125.217,11.577,578.85
DOL - Dólar comercial,H14,2124.075,2135.746,11.671,583.55
DOL - Dólar comercial,J14,2134.034,2145.796,11.762,588.1
DOL - Dólar comercial,N14,2168.267,2180.667,12.4,620.0
DOL - Dólar comercial,U14,2193.482,2206.527,13.045,652.25
DOL - Dólar comercial,V14,2206.209,2219.588,13.379,668.95
DOL - Dólar comercial,F15,2246.144,2259.532,13.388,669.4
DOL - Dólar comercial,J15,2283.872,2297.889,14.017,700.85
DOL - Dólar comercial,N15,2322.385,2339.02,16.635,831.75
DOL - Dólar comercial,V15,2363.7,2382.967,19.267,963.35
DOL - Dólar comercial,F16,2404.862,2423.416,18.554,927.7
DOL - Dólar comercial,J16,2443.907,2463.397,19.49,974.5
DOL - Dólar comercial,V16,2526.88,2551.84,24.96,1248.0
DOL - Dólar comercial,F17,2563.584,2588.728,25.144,1257.2
DOL - Dólar comercial,J17,2604.266,2629.702,25.436,1271.8
DOL - Dólar comercial,F18,2715.166,2748.912,33.746,1687.3
DOL - Dólar comercial,F21,3226.34,3273.852,47.512,2375.6
ETH - Etanol Hidratado,H13,1252.5,1255.0,2.5,75.0
ETH - Etanol Hidratado,J13,1183.0,1183.0,0.0,0.0
ETH - Etanol Hidratado,K13,1156.0,1156.0,0.0,0.0
ETH - Etanol Hidratado,M13,1130.0,1130.0,0.0,0.0
ETH - Etanol Hidratado,N13,1130.0,1130.0,0.0,0.0
ETH - Etanol Hidratado,Q13,1130.0,1130.0,0.0,0.0
ETH - Etanol Hidratado,U13,1135.0,1135.0,0.0,0.0
EUR - Euro (em Reais),J13,2565.634,2578.671,13.037,651.85
EUR - Euro (em Reais),K13,2578.28,2601.346,23.066,1153.3
EUR - Euro (em Reais),M13,2590.272,2613.488,23.216,1160.8
EUR - Euro (em Reais),N13,2602.406,2625.747,23.341,1167.05
EUR - Euro (em Reais),V13,2646.559,2670.264,23.705,1185.25
