Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
AL2 - Álcool Anidro,Z07,753.0,753.0,0.0,0.0
ALA - Álcool anidro,Z07,753.0,753.0,0.0,0.0
B19 - Global 2019,N07,126.0313,125.9375,-0.0938,91.4
B34 - Global 2034,N07,129.125,128.5938,-0.5312,517.62
B37 - Global 2037,N07,113.316,113.4688,0.1528,148.89
B40 - Global 2040,N07,134.5938,134.2188,-0.375,365.41
BG2 - Boi gordo,K07,55.16,55.16,0.0,0.0
BG2 - Boi gordo,M07,54.5,54.46,-0.04,13.2
BG2 - Boi gordo,N07,56.4,56.3,-0.1,33.0
BG2 - Boi gordo,Q07,57.72,57.56,-0.16,52.8
BG2 - Boi gordo,U07,59.35,59.2,-0.15,49.5
BG2 - Boi gordo,V07,60.91,60.7,-0.21,69.3
BG2 - Boi gordo,X07,60.1,60.0,-0.1,33.0
BG2 - Boi gordo,Z07,59.85,59.65,-0.2,66.0
BG2 - Boi gordo,V08,64.2,64.0,-0.2,66.0
BGI - Boi gordo,K07,55.16,55.16,0.0,0.0
BGI - Boi gordo,M07,54.5,54.46,-0.04,13.2
BGI - Boi gordo,N07,56.4,56.3,-0.1,33.0
BGI - Boi gordo,Q07,57.72,57.56,-0.16,52.8
BGI - Boi gordo,U07,59.35,59.2,-0.15,49.5
BGI - Boi gordo,V07,60.91,60.7,-0.21,69.3
BGI - Boi gordo,X07,60.1,60.0,-0.1,33.0
BGI - Boi gordo,Z07,59.85,59.65,-0.2,66.0
BGI - Boi gordo,V08,64.2,64.0,-0.2,66.0
BRI - Futuro do Índice Brasil 50,M07,7454.0,7462.0,8.0,80.0
BZ2 - Bezerro,K07,419.28,419.58,0.3,9.9
BZE - Bezerro,K07,419.28,419.58,0.3,9.9
CN2 - Milho,N07,19.25,19.4,0.15,67.5
CN2 - Milho,U07,19.39,19.54,0.15,67.5
CN2 - Milho,X07,19.5,19.73,0.23,103.5
CN2 - Milho,F08,20.2,20.45,0.25,112.5
CN2 - Milho,H08,19.35,19.4,0.05,22.5
CO2 - Algodão,N07,57.35,55.5,-1.85,994.9
CO2 - Algodão,V07,56.05,55.0,-1.05,564.67
COT - Algodão,N07,57.35,55.5,-1.85,994.9
COT - Algodão,V07,56.05,55.0,-1.05,564.67
DAP - Cupom de DI x IPCA,Q10,81819.99,81814.76,-5.23,6.94
DAP - Cupom de DI x IPCA,K15,62679.8,62618.41,-61.39,81.52
DDI - Cupom cambial,M07,99939.0,100344.94,405.94,393.94
DDI - Cupom cambial,N07,99406.99,99812.57,405.58,393.59
DDI - Cupom cambial,Q07,98902.61,99312.54,409.93,397.81
DDI - Cupom cambial,U07,98367.22,98779.09,411.87,399.69
DDI - Cupom cambial,V07,97914.81,98322.0,407.19,395.15
DDI - Cupom cambial,F08,96506.94,96900.89,393.95,382.3
DDI - Cupom cambial,J08,95159.4,95541.65,382.25,370.95
DDI - Cupom cambial,N08,93880.6,94262.92,382.32,371.02
DDI - Cupom cambial,V08,92620.84,92978.59,357.75,347.17
DDI - Cupom cambial,F09,91388.51,91745.22,356.71,346.16
DDI - Cupom cambial,J09,90196.49,90524.02,327.53,317.85
DDI - Cupom cambial,N09,89009.41,89303.43,294.02,285.33
DDI - Cupom cambial,V09,87785.28,88064.95,279.67,271.4
DDI - Cupom cambial,F10,86545.98,86801.29,255.31,247.76
DDI - Cupom cambial,J10,85425.88,85665.58,239.7,232.61
DDI - Cupom cambial,N10,84276.99,84495.74,218.75,212.28
DDI - Cupom cambial,V10,83113.06,83304.87,191.81,186.14
DDI - Cupom cambial,F11,81944.57,82079.44,134.87,130.88
DDI - Cupom cambial,J11,80835.61,80931.29,95.68,92.85
DDI - Cupom cambial,N11,79734.63,79813.77,79.14,76.8
DDI - Cupom cambial,V11,78618.9,78652.04,33.14,32.16
DDI - Cupom cambial,F12,77524.49,77592.14,67.65,65.65
DDI - Cupom cambial,J12,76474.18,76519.68,45.5,44.15
DDI - Cupom cambial,N12,75499.47,75491.61,-7.86,7.62
DDI - Cupom cambial,V12,74423.14,74419.28,-3.86,3.74
DDI - Cupom cambial,F13,73402.87,73402.94,0.07,0.06
DDI - Cupom cambial,J13,72405.71,72378.1,-27.61,26.79
DDI - Cupom cambial,N13,71372.76,71348.05,-24.71,23.97
