Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
BCB - C-Bond,ABR0,75.875,76.7813,0.9063,1568.35
BEI - EI-Bond,ABR0,90.8438,91.4063,0.5625,486.7
DDI - Cupom cambial,ABR0,99622.92,99272.01,-350.91,304.95
DDI - Cupom cambial,MAI0,99079.8,98729.41,-350.39,304.5
DDI - Cupom cambial,JUN0,98435.18,98122.86,-312.32,271.42
DDI - Cupom cambial,JUL0,97764.41,97435.29,-329.12,286.02
DDI - Cupom cambial,AGO0,97077.99,96753.91,-324.08,281.64
DDI - Cupom cambial,SET0,96334.42,96046.95,-287.47,249.82
DDI - Cupom cambial,OUT0,95603.27,95349.84,-253.43,220.24
DDI - Cupom cambial,NOV0,94889.65,94669.08,-220.57,191.68
DDI - Cupom cambial,DEZ0,94140.47,93935.67,-204.8,177.98
DDI - Cupom cambial,JAN1,93323.35,93188.93,-134.42,116.81
DDI - Cupom cambial,FEV1,92568.73,92415.27,-153.46,133.36
DDI - Cupom cambial,MAR1,91916.52,91798.33,-118.19,102.71
DDI - Cupom cambial,ABR1,91093.72,91016.66,-77.06,66.96
DDI - Cupom cambial,MAI1,90399.43,90276.92,-122.51,106.46
DDI - Cupom cambial,JUN1,89611.46,89496.94,-114.52,99.52
DDI - Cupom cambial,JUL1,88898.48,88843.79,-54.69,47.52
DDI - Cupom cambial,AGO1,88050.12,88050.12,0.0,0.0
DDI - Cupom cambial,SET1,87240.59,87240.59,0.0,0.0
DDI - Cupom cambial,OUT1,86653.26,86638.22,-15.04,13.07
DDI - Cupom cambial,NOV1,85830.85,85939.37,108.52,94.3
DDI - Cupom cambial,DEZ1,85054.64,85037.63,-17.01,14.78
DDI - Cupom cambial,JAN2,84434.29,84362.97,-71.32,61.98
DDI - Cupom cambial,ABR2,82317.67,82248.12,-69.55,60.44
DDI - Cupom cambial,JUL2,79939.53,80030.04,90.51,78.65
DDI - Cupom cambial,OUT2,77566.0,77768.14,202.14,175.66
DDI - Cupom cambial,JAN3,75319.87,75416.68,96.81,84.13
DI1 - DI de 1 dia,ABR0,99459.86,99460.0,0.14,0.14
DI1 - DI de 1 dia,MAI0,98188.0,98186.72,-1.28,1.28
DI1 - DI de 1 dia,JUN0,96739.01,96738.0,-1.01,1.01
DI1 - DI de 1 dia,JUL0,95370.59,95375.0,4.41,4.41
DI1 - DI de 1 dia,AGO0,94027.16,94040.0,12.84,12.84
DI1 - DI de 1 dia,SET0,92582.17,92600.0,17.83,17.83
DI1 - DI de 1 dia,OUT0,91343.3,91355.34,12.04,12.04
DI1 - DI de 1 dia,NOV0,90051.45,90081.0,29.55,29.55
DI1 - DI de 1 dia,DEZ0,88845.62,88880.0,34.38,34.38
DI1 - DI de 1 dia,JAN1,87654.81,87695.0,40.19,40.19
DI1 - DI de 1 dia,FEV1,86348.92,86410.0,61.08,61.08
DI1 - DI de 1 dia,MAR1,85303.21,85370.0,66.79,66.79
DI1 - DI de 1 dia,ABR1,84037.34,84135.0,97.66,97.66
DI1 - DI de 1 dia,JUL1,80479.76,80635.0,155.24,155.24
DI1 - DI de 1 dia,OUT1,77052.58,77150.0,97.42,97.42
DI1 - DI de 1 dia,NOV1,75851.76,76040.0,188.24,188.24
DI1 - DI de 1 dia,JAN2,73830.38,74060.0,229.62,229.62
DI1 - DI de 1 dia,ABR2,70808.31,71030.0,221.69,221.69
DI1 - DI de 1 dia,JAN3,61483.86,62000.0,516.14,516.14
DOL - Dólar comercial,ABR0,1742.166,1733.922,-8.244,412.2
DOL - Dólar comercial,MAI0,1755.5,1746.896,-8.604,430.2
DOL - Dólar comercial,JUN0,1769.0,1763.0,-6.0,300.0
DOL - Dólar comercial,JUL0,1781.0,1775.0,-6.0,300.0
DOL - Dólar comercial,SET0,1819.0,1813.0,-6.0,300.0
ICF - Café Arábica 4/5,MAR0,118.0,120.5,2.5,250.0
ICF - Café Arábica 4/5,MAI0,121.3,123.5,2.2,220.0
ICF - Café Arábica 4/5,JUL0,124.0,126.0,2.0,200.0
ICF - Café Arábica 4/5,SET0,123.25,126.0,2.75,275.0
ICF - Café Arábica 4/5,DEZ0,129.0,130.0,1.0,100.0
ICF - Café Arábica 4/5,MAR1,131.0,133.0,2.0,200.0
ICF - Café Arábica 4/5,JUL1,133.0,135.0,2.0,200.0
ICO - Algodão,JUL0,51.1,51.1,0.0,0.0
ICO - Algodão,OUT0,53.1,53.1,0.0,0.0
ILC - Boi Gordo (US$/arroba),ABR0,21.16,21.5,0.34,112.2
ILC - Boi Gordo (US$/arroba),MAI0,20.35,20.6,0.25,82.5
ILC - Boi Gordo (US$/arroba),JUN0,21.0,21.2,0.2,66.0
ILC - Boi Gordo (US$/arroba),JUL0,21.51,21.84,0.33,108.9
ILC - Boi Gordo (US$/arroba),AGO0,21.85,22.15,0.3,99.0
ILC - Boi Gordo (US$/arroba),SET0,22.45,22.95,0.5,165.0
ILC - Boi Gordo (US$/arroba),OUT0,23.2,23.59,0.39,128.7
IND - Ibovespa,ABR0,18538.0,18720.0,182.0,546.0
ISO - Soja,MAI0,10.5,10.5,0.0,0.0
MIL - Milho cambial,MAR0,7.23,7.16,-0.07,54.51
MIL - Milho cambial,MAI0,6.7,6.75,0.05,38.93
MIL - Milho cambial,JUL0,7.03,7.06,0.03,23.36
SOY - Soja FOB Santos,MAR0,10.44,10.44,0.0,0.0
SOY - Soja FOB Santos,MAI0,10.25,10.25,0.0,0.0
SOY - Soja FOB Santos,JUL0,10.7,10.75,0.05,38.93
SOY - Soja FOB Santos,SET0,11.0,11.0,0.0,0.0
SUG - Açúcar cambial,MAR0,10.35,10.35,0.0,0.0
SUG - Açúcar cambial,MAI0,7.7,7.65,-0.05,23.36
SUG - Açúcar cambial,JUL0,6.5,6.55,0.05,23.36
