Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
A18 - A-Bond 2018,V06,106.3438,106.3438,0.0,0.0
AL2 - Álcool Anidro,N06,1150.0,1150.0,0.0,0.0
AL2 - Álcool Anidro,Q06,1162.0,1162.0,0.0,0.0
AL2 - Álcool Anidro,U06,1150.0,1150.0,0.0,0.0
AL2 - Álcool Anidro,V06,1140.0,1140.0,0.0,0.0
AL2 - Álcool Anidro,X06,1158.0,1158.0,0.0,0.0
AL2 - Álcool Anidro,Z06,1163.0,1163.0,0.0,0.0
AL2 - Álcool Anidro,F07,1163.0,1163.0,0.0,0.0
AL2 - Álcool Anidro,G07,1160.0,1160.0,0.0,0.0
AL2 - Álcool Anidro,H07,1168.0,1168.0,0.0,0.0
ALA - Álcool anidro,N06,1150.0,1150.0,0.0,0.0
ALA - Álcool anidro,Q06,1162.0,1162.0,0.0,0.0
ALA - Álcool anidro,U06,1150.0,1150.0,0.0,0.0
ALA - Álcool anidro,V06,1140.0,1140.0,0.0,0.0
ALA - Álcool anidro,X06,1158.0,1158.0,0.0,0.0
ALA - Álcool anidro,Z06,1163.0,1163.0,0.0,0.0
ALA - Álcool anidro,F07,1163.0,1163.0,0.0,0.0
ALA - Álcool anidro,G07,1160.0,1160.0,0.0,0.0
ALA - Álcool anidro,H07,1168.0,1168.0,0.0,0.0
B15 - Global 2015,V06,104.8125,104.8125,0.0,0.0
B19 - Global 2019,V06,111.0313,111.0625,0.0312,33.76
B34 - Global 2034,V06,105.6875,105.6875,0.0,0.0
B40 - Global 2040,V06,123.375,123.4063,0.0313,33.87
BG2 - Boi gordo,N06,49.87,50.0,0.13,42.9
BG2 - Boi gordo,Q06,51.89,52.0,0.11,36.3
BG2 - Boi gordo,U06,54.16,54.12,-0.04,13.2
BG2 - Boi gordo,V06,56.53,56.36,-0.17,56.1
BG2 - Boi gordo,X06,57.16,56.97,-0.19,62.7
BG2 - Boi gordo,Z06,56.7,56.6,-0.1,33.0
BG2 - Boi gordo,F07,56.2,56.15,-0.05,16.5
BG2 - Boi gordo,G07,56.4,56.2,-0.2,66.0
BG2 - Boi gordo,K07,56.0,55.89,-0.11,36.3
BGI - Boi gordo,N06,49.87,50.0,0.13,42.9
BGI - Boi gordo,Q06,51.89,52.0,0.11,36.3
BGI - Boi gordo,U06,54.16,54.12,-0.04,13.2
