Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
ALA - Álcool anidro,AGO0,395.0,395.0,0.0,0.0
ALA - Álcool anidro,OUT0,417.0,422.0,5.0,150.0
ALA - Álcool anidro,DEZ0,445.0,442.0,-3.0,90.0
ALA - Álcool anidro,MAR1,481.0,482.0,1.0,30.0
ALA - Álcool anidro,MAI1,483.0,483.0,0.0,0.0
BCB - C-Bond,JUL0,67.75,67.125,-0.625,1141.62
BEI - EI-Bond,JUL0,87.4375,87.0,-0.4375,399.56
DDI - Cupom cambial,JUN0,100164.18,100671.14,506.96,460.37
DDI - Cupom cambial,JUL0,99519.69,100000.0,480.31,436.16
DDI - Cupom cambial,AGO0,98844.93,99218.65,373.72,339.37
DDI - Cupom cambial,SET0,98043.83,98227.54,183.71,166.82
DDI - Cupom cambial,OUT0,97341.26,97672.15,330.89,300.48
DDI - Cupom cambial,NOV0,96603.86,96835.63,231.77,210.47
DDI - Cupom cambial,DEZ0,95764.43,96098.4,333.97,303.27
DDI - Cupom cambial,JAN1,94939.96,95332.67,392.71,356.61
DDI - Cupom cambial,FEV1,94091.97,94373.01,281.04,255.21
DDI - Cupom cambial,MAR1,93287.23,93600.82,313.59,284.77
DDI - Cupom cambial,ABR1,92445.84,92640.25,194.41,176.54
DDI - Cupom cambial,MAI1,91674.73,91848.45,173.72,157.75
DDI - Cupom cambial,JUN1,90719.09,90953.88,234.79,213.21
DDI - Cupom cambial,JUL1,89900.54,90061.24,160.7,145.93
DDI - Cupom cambial,AGO1,89048.85,89173.36,124.51,113.06
DDI - Cupom cambial,SET1,88121.26,88256.93,135.67,123.2
DDI - Cupom cambial,OUT1,87348.5,87439.34,90.84,82.49
DDI - Cupom cambial,NOV1,86394.47,86548.45,153.98,139.82
DDI - Cupom cambial,DEZ1,85581.4,85686.74,105.34,95.65
DDI - Cupom cambial,JAN2,84813.82,84805.65,-8.17,7.41
DDI - Cupom cambial,ABR2,82414.17,82218.62,-195.55,177.57
DDI - Cupom cambial,JUL2,79978.67,79776.63,-202.04,183.47
DDI - Cupom cambial,OUT2,77395.87,76759.06,-636.81,578.28
DDI - Cupom cambial,JAN3,74962.19,74379.78,-582.41,528.88
DDI - Cupom cambial,ABR3,72643.49,72049.71,-593.78,539.21
