Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
ALA - Álcool anidro,AGO3,755.0,745.0,-10.0,300.0
ALA - Álcool anidro,SET3,730.0,715.0,-15.0,450.0
ALA - Álcool anidro,OUT3,749.0,725.0,-24.0,720.0
ALA - Álcool anidro,NOV3,795.0,760.0,-35.0,1050.0
ALA - Álcool anidro,DEZ3,815.0,774.4,-40.6,1218.0
BCB - C-Bond,JUL3,87.2188,88.8438,1.625,4816.33
BGI - Boi gordo,MAI3,51.45,51.17,-0.28,92.4
BGI - Boi gordo,JUN3,52.16,52.01,-0.15,49.5
BGI - Boi gordo,JUL3,55.04,54.99,-0.05,16.5
BGI - Boi gordo,AGO3,56.55,56.51,-0.04,13.2
BGI - Boi gordo,OUT3,61.15,60.9,-0.25,82.5
BGI - Boi gordo,DEZ3,60.5,61.0,0.5,165.0
BZE - Bezerro,MAI3,389.5,389.6,0.1,3.3
BZE - Bezerro,JUN3,383.5,383.5,0.0,0.0
BZE - Bezerro,JUL3,388.0,388.0,0.0,0.0
BZE - Bezerro,AGO3,397.0,398.0,1.0,33.0
CNL - Café conillon,JUL3,45.5,46.0,0.5,367.28
CNL - Café conillon,SET3,45.5,45.5,0.0,0.0
COT - Algodão,JUL3,48.0,48.0,0.0,0.0
DDI - Cupom cambial,JUN3,99790.03,97109.06,-2680.97,4058.58
DDI - Cupom cambial,JUL3,99532.99,96889.97,-2643.02,4001.13
DDI - Cupom cambial,AGO3,99131.56,96538.4,-2593.16,3925.65
DDI - Cupom cambial,SET3,98677.33,96150.15,-2527.18,3825.77
DDI - Cupom cambial,OUT3,98095.77,95641.61,-2454.16,3715.23
DDI - Cupom cambial,JAN4,96103.82,93820.37,-2283.45,3456.8
DDI - Cupom cambial,ABR4,94022.13,91795.75,-2226.38,3370.4
DDI - Cupom cambial,JUL4,91919.26,89727.25,-2192.01,3318.37
DDI - Cupom cambial,OUT4,89548.33,87461.9,-2086.43,3158.54
DDI - Cupom cambial,JAN5,87127.9,85276.37,-1851.53,2802.93
DDI - Cupom cambial,ABR5,84879.91,82932.68,-1947.23,2947.81
DDI - Cupom cambial,JUL5,82428.56,80605.94,-1822.62,2759.17
DDI - Cupom cambial,OUT5,79942.04,78116.86,-1825.18,2763.04
DDI - Cupom cambial,JAN6,77457.96,75686.52,-1771.44,2681.69
DDI - Cupom cambial,ABR6,75144.56,73359.77,-1784.79,2701.9
DDI - Cupom cambial,JUL6,72788.41,70940.34,-1848.07,2797.7
DDI - Cupom cambial,OUT6,70294.44,68577.39,-1717.05,2599.35
DDI - Cupom cambial,JAN7,68073.49,66408.8,-1664.69,2520.09
DDI - Cupom cambial,ABR7,65852.62,64245.22,-1607.4,2433.36
