Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
ALA - Álcool anidro,OUT2,558.0,578.0,20.0,600.0
ALA - Álcool anidro,DEZ2,602.0,622.0,20.0,600.0
ALA - Álcool anidro,MAR3,625.0,645.0,20.0,600.0
ALA - Álcool anidro,MAI3,625.0,635.0,10.0,300.0
ALA - Álcool anidro,AGO3,555.0,560.0,5.0,150.0
BCB - C-Bond,OUT2,58.8125,59.0938,0.2813,870.59
BGI - Boi gordo,AGO2,51.0,51.06,0.06,19.8
BGI - Boi gordo,SET2,52.85,53.15,0.3,99.0
BGI - Boi gordo,OUT2,54.24,54.45,0.21,69.3
BGI - Boi gordo,NOV2,53.3,53.65,0.35,115.5
BGI - Boi gordo,DEZ2,53.35,53.6,0.25,82.5
BGI - Boi gordo,JAN3,53.2,53.4,0.2,66.0
BGI - Boi gordo,FEV3,52.2,52.45,0.25,82.5
BGI - Boi gordo,MAR3,51.1,51.4,0.3,99.0
BGI - Boi gordo,ABR3,50.6,51.0,0.4,132.0
DDI - Cupom cambial,SET2,99716.83,101313.36,1596.53,2457.69
DDI - Cupom cambial,OUT2,97058.63,98573.96,1515.33,2332.69
DDI - Cupom cambial,NOV2,94518.7,95879.73,1361.03,2095.16
DDI - Cupom cambial,DEZ2,92547.33,94104.73,1557.4,2397.46
DDI - Cupom cambial,JAN3,90835.74,92476.9,1641.16,2526.4
DDI - Cupom cambial,ABR3,86004.38,87917.24,1912.86,2944.65
DDI - Cupom cambial,JUL3,82773.66,84751.27,1977.61,3044.33
DDI - Cupom cambial,OUT3,79216.15,81154.19,1938.04,2983.41
DDI - Cupom cambial,JAN4,75937.43,78080.1,2142.67,3298.42
DDI - Cupom cambial,ABR4,72770.01,74902.83,2132.82,3283.26
DDI - Cupom cambial,JUL4,69935.2,72040.31,2105.11,3240.6
DDI - Cupom cambial,OUT4,67318.88,69433.01,2114.13,3254.49
DDI - Cupom cambial,JAN5,64913.81,66986.96,2073.15,3191.4
DDI - Cupom cambial,ABR5,62405.37,64566.67,2161.3,3327.1
DDI - Cupom cambial,JUL5,60172.18,62386.59,2214.41,3408.86
DDI - Cupom cambial,OUT5,57556.57,59777.29,2220.72,3418.57
DDI - Cupom cambial,JAN6,55034.31,57353.26,2318.95,3569.79
DDI - Cupom cambial,ABR6,52533.51,54899.51,2366.0,3642.22
DDI - Cupom cambial,JUL6,50358.36,52668.49,2310.13,3556.21
DDI - Cupom cambial,OUT6,47918.31,50154.43,2236.12,3442.28
DDI - Cupom cambial,JAN7,45869.2,48054.71,2185.51,3364.37
DDI - Cupom cambial,ABR7,44455.81,46660.96,2205.15,3394.6
DDI - Cupom cambial,JUL7,43109.26,45329.72,2220.46,3418.17
DDI - Cupom cambial,OUT7,41838.4,44040.26,2201.86,3389.54
DDI - Cupom cambial,JAN8,40515.01,42812.32,2297.31,3536.47
DI1 - DI de 1 dia,SET2,99738.79,99737.76,-1.03,1.03
DI1 - DI de 1 dia,OUT2,98357.85,98356.17,-1.68,1.68
DI1 - DI de 1 dia,NOV2,96735.58,96733.15,-2.43,2.43
DI1 - DI de 1 dia,DEZ2,95227.22,95231.41,4.19,4.19
DI1 - DI de 1 dia,JAN3,93553.29,93551.39,-1.9,1.9
DI1 - DI de 1 dia,ABR3,88391.66,88334.02,-57.64,57.64
DI1 - DI de 1 dia,JUL3,83274.78,83208.66,-66.12,66.12
DI1 - DI de 1 dia,OUT3,77749.72,77762.83,13.11,13.11
DI1 - DI de 1 dia,JAN4,72548.08,72506.66,-41.42,41.42
DI1 - DI de 1 dia,ABR4,67804.84,67868.52,63.68,63.68
DI1 - DI de 1 dia,JUL4,63237.65,63350.0,112.35,112.35
DI1 - DI de 1 dia,OUT4,58646.01,58762.78,116.77,116.77
DI1 - DI de 1 dia,JAN5,54548.97,54569.04,20.07,20.07
DI1 - DI de 1 dia,ABR5,50950.98,50919.13,-31.85,31.85
DI1 - DI de 1 dia,JAN6,40419.09,40643.76,224.67,224.67
DI1 - DI de 1 dia,ABR6,37264.98,37486.21,221.23,221.23
DI1 - DI de 1 dia,OUT6,31634.09,32043.69,409.6,409.6
DOL - Dólar comercial,SET2,3078.123,3127.438,49.315,2465.75
DOL - Dólar comercial,OUT2,3038.123,3087.438,49.315,2465.75
DOL - Dólar comercial,NOV2,3008.243,3051.637,43.394,2169.7
DOL - Dólar comercial,DEZ2,2992.156,3042.375,50.219,2510.95
DOL - Dólar comercial,JAN3,2989.367,3043.438,54.071,2703.55
DOL - Dólar comercial,FEV3,2991.63,3050.936,59.306,2965.3
DOL - Dólar comercial,MAR3,2993.69,3057.769,64.079,3203.95
DOL - Dólar comercial,ABR3,2995.648,3064.274,68.626,3431.3
DOL - Dólar comercial,MAI3,3016.684,3087.568,70.884,3544.2
DOL - Dólar comercial,JUN3,3038.932,3112.219,73.287,3664.35
DOL - Dólar comercial,JUL3,3060.272,3135.878,75.606,3780.3
DOL - Dólar comercial,JAN4,3222.637,3315.461,92.824,4641.2
DOM - Dólar comercial fracionário,SET2,3078.123,3127.438,49.315,246.57
DOM - Dólar comercial fracionário,OUT2,3038.123,3087.438,49.315,246.57
FRC - FRA de cupom,OUT2,34.0,34.5,0.5,0.25
FRC - FRA de cupom,NOV2,33.0,34.0,1.0,0.5
FRC - FRA de cupom,DEZ2,30.65,30.3,-0.35,0.17
FRC - FRA de cupom,JAN3,28.85,28.2,-0.65,0.32
FRC - FRA de cupom,ABR3,27.2,26.0,-1.2,0.6
FRC - FRA de cupom,JUL3,24.4,23.3,-1.1,0.55
FRC - FRA de cupom,OUT3,23.65,22.7,-0.95,0.47
FRC - FRA de cupom,JAN4,23.15,22.0,-1.15,0.57
FRC - FRA de cupom,ABR4,23.1,22.0,-1.1,0.55
FRC - FRA de cupom,JUL4,22.95,21.9,-1.05,0.52
FRC - FRA de cupom,OUT4,22.8,21.75,-1.05,0.52
FRC - FRA de cupom,JAN5,22.6,21.6,-1.0,0.5
FRC - FRA de cupom,ABR5,22.85,21.75,-1.1,0.55
FRC - FRA de cupom,JUL5,22.9,21.74,-1.16,0.58
FRC - FRA de cupom,OUT5,23.4,22.2,-1.2,0.6
FRC - FRA de cupom,JAN6,24.0,22.65,-1.35,0.67
FRC - FRA de cupom,ABR6,24.7,23.25,-1.45,0.72
FRC - FRA de cupom,JUL6,25.2,23.75,-1.45,0.72
FRC - FRA de cupom,OUT6,26.1,24.63,-1.47,0.73
FRC - FRA de cupom,JAN7,26.7,25.2,-1.5,0.75
FRC - FRA de cupom,ABR7,26.75,25.2,-1.55,0.77
FRC - FRA de cupom,JUL7,26.8,25.2,-1.6,0.8
FRC - FRA de cupom,OUT7,26.85,25.24,-1.61,0.8
FRC - FRA de cupom,JAN8,27.0,25.25,-1.75,0.87
FRP - Forward points,SET2,0.0,0.0,0.0,0.0
ICF - Café Arábica 4/5,SET2,43.9,44.1,0.2,62.61
ICF - Café Arábica 4/5,DEZ2,48.0,48.35,0.35,109.56
ICF - Café Arábica 4/5,MAR3,51.8,51.9,0.1,31.3
ICF - Café Arábica 4/5,MAI3,53.8,53.6,-0.2,62.61
ICF - Café Arábica 4/5,JUL3,55.5,55.5,0.0,0.0
ICF - Café Arábica 4/5,SET3,56.4,56.1,-0.3,93.91
ICF - Café Arábica 4/5,DEZ3,59.4,59.6,0.2,62.61
IND - Ibovespa,OUT2,10381.0,10641.0,260.0,780.0
IND - Ibovespa,DEZ2,10746.0,10981.0,235.0,705.0
IND - Ibovespa,FEV3,11124.0,11371.0,247.0,741.0
