Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
A18 - A-Bond 2018,JAN6,102.5,102.875,0.375,413.1
AL2 - Álcool Anidro,NOV5,975.0,975.0,0.0,0.0
AL2 - Álcool Anidro,DEZ5,995.0,990.0,-5.0,150.0
AL2 - Álcool Anidro,JAN6,1015.0,1010.0,-5.0,150.0
AL2 - Álcool Anidro,FEV6,1030.0,1025.0,-5.0,150.0
AL2 - Álcool Anidro,MAR6,1045.0,1040.0,-5.0,150.0
ALA - Álcool anidro,NOV5,975.0,975.0,0.0,0.0
ALA - Álcool anidro,DEZ5,995.0,990.0,-5.0,150.0
ALA - Álcool anidro,JAN6,1015.0,1010.0,-5.0,150.0
ALA - Álcool anidro,FEV6,1030.0,1025.0,-5.0,150.0
ALA - Álcool anidro,MAR6,1045.0,1040.0,-5.0,150.0
B09 - Global 2009,JAN6,125.8125,126.0,0.1875,206.55
B11 - Global 2011,JAN6,112.75,112.8437,0.0937,103.21
B14 - Global 2014,JAN6,117.184,117.2187,0.0347,38.22
B19 - Global 2019,JAN6,104.6875,105.0937,0.4062,447.46
B40 - Global 2040,JAN6,118.6875,119.5,0.8125,895.05
BG2 - Boi gordo,NOV5,58.83,58.94,0.11,36.3
BG2 - Boi gordo,DEZ5,57.34,57.85,0.51,168.3
BG2 - Boi gordo,JAN6,55.67,56.35,0.68,224.4
BG2 - Boi gordo,FEV6,55.8,56.18,0.38,125.4
BG2 - Boi gordo,MAR6,55.46,56.43,0.97,320.1
BG2 - Boi gordo,ABR6,55.28,56.5,1.22,402.6
BG2 - Boi gordo,MAI6,55.13,56.15,1.02,336.6
BG2 - Boi gordo,JUL6,58.5,59.3,0.8,264.0
BG2 - Boi gordo,AGO6,59.75,60.65,0.9,297.0
BG2 - Boi gordo,SET6,61.5,62.5,1.0,330.0
BG2 - Boi gordo,OUT6,62.85,63.25,0.4,132.0
BG2 - Boi gordo,NOV6,64.1,64.3,0.2,66.0
BG2 - Boi gordo,DEZ6,63.2,63.55,0.35,115.5
BG2 - Boi gordo,JAN7,63.5,63.5,0.0,0.0
BGI - Boi gordo,NOV5,58.83,58.94,0.11,36.3
BGI - Boi gordo,DEZ5,57.34,57.85,0.51,168.3
BGI - Boi gordo,JAN6,55.67,56.35,0.68,224.4
BGI - Boi gordo,FEV6,55.8,56.18,0.38,125.4
BGI - Boi gordo,MAR6,55.46,56.43,0.97,320.1
BGI - Boi gordo,ABR6,55.28,56.5,1.22,402.6
BGI - Boi gordo,MAI6,55.13,56.15,1.02,336.6
BGI - Boi gordo,JUL6,58.5,59.3,0.8,264.0
BGI - Boi gordo,AGO6,59.75,60.65,0.9,297.0
BGI - Boi gordo,SET6,61.5,62.5,1.0,330.0
BGI - Boi gordo,OUT6,62.85,63.25,0.4,132.0
BGI - Boi gordo,NOV6,64.1,64.3,0.2,66.0
BGI - Boi gordo,DEZ6,63.2,63.55,0.35,115.5
BGI - Boi gordo,JAN7,63.5,63.5,0.0,0.0
BRI - Futuro do Índice Brasil 50,DEZ5,4445.0,4458.0,13.0,130.0
BZ2 - Bezerro,FEV6,335.0,335.0,0.0,0.0
BZE - Bezerro,FEV6,335.0,335.0,0.0,0.0
CN2 - Milho,NOV5,16.03,16.03,0.0,0.0
CN2 - Milho,JAN6,16.18,16.3,0.12,54.0
CN2 - Milho,MAR6,16.33,16.35,0.02,9.0
CN2 - Milho,MAI6,16.35,16.35,0.0,0.0
CN2 - Milho,JUL6,17.0,17.0,0.0,0.0
CN2 - Milho,SET6,18.0,17.1,-0.9,405.0
CO2 - Algodão,MAR6,51.0,51.5,0.5,302.36
CO2 - Algodão,MAI6,52.2,52.5,0.3,181.41
CO2 - Algodão,JUL6,53.1,53.5,0.4,241.88
CO2 - Algodão,OUT6,53.6,53.6,0.0,0.0
COT - Algodão,MAR6,51.0,51.5,0.5,302.36
COT - Algodão,MAI6,52.2,52.5,0.3,181.41
COT - Algodão,JUL6,53.1,53.5,0.4,241.88
COT - Algodão,OUT6,53.6,53.6,0.0,0.0
DDI - Cupom cambial,DEZ5,99776.11,99327.96,-448.15,493.25
