Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
B40 - Global 2040,F10,132.625,132.6875,0.0625,54.79
BGI - Boi gordo,V09,80.97,80.12,-0.85,280.5
BGI - Boi gordo,X09,82.05,81.48,-0.57,188.1
BGI - Boi gordo,Z09,81.9,81.35,-0.55,181.5
BGI - Boi gordo,F10,81.85,81.31,-0.54,178.2
BGI - Boi gordo,G10,81.82,81.29,-0.53,174.9
BGI - Boi gordo,K10,79.25,79.05,-0.2,66.0
BGI - Boi gordo,V10,84.25,83.0,-1.25,412.5
CCM - Milho,X09,20.8,21.05,0.25,112.5
CCM - Milho,F10,22.0,22.3,0.3,135.0
CCM - Milho,H10,22.0,22.3,0.3,135.0
CCM - Milho,K10,21.89,22.13,0.24,108.0
CCM - Milho,N10,21.94,22.21,0.27,121.5
CCM - Milho,U10,22.7,22.9,0.2,90.0
DAP - Cupom de DI x IPCA,Q10,96136.62,96116.52,-20.1,17.51
DAP - Cupom de DI x IPCA,Q12,83899.13,83881.59,-17.54,34.64
DAP - Cupom de DI x IPCA,K15,70962.38,70947.54,-14.84,31.46
DDI - Cupom cambial,X09,99873.77,99050.11,-823.66,427.06
DDI - Cupom cambial,Z09,99745.44,98922.84,-822.6,425.84
DDI - Cupom cambial,F10,99586.72,98765.43,-821.29,421.26
DDI - Cupom cambial,G10,99446.22,98626.08,-820.14,416.57
DDI - Cupom cambial,J10,99120.98,98303.53,-817.45,419.67
DDI - Cupom cambial,N10,98549.91,97737.17,-812.74,407.0
DDI - Cupom cambial,V10,97799.77,96993.21,-806.56,414.9
DDI - Cupom cambial,F11,96979.07,96179.28,-799.79,407.3
DDI - Cupom cambial,J11,96210.82,95417.37,-793.45,458.34
DDI - Cupom cambial,N11,95365.08,94578.6,-786.48,409.47
DDI - Cupom cambial,V11,94442.4,93663.53,-778.87,411.37
DDI - Cupom cambial,F12,93600.4,92828.48,-771.92,361.25
DDI - Cupom cambial,J12,92730.19,91965.44,-764.75,369.51
DDI - Cupom cambial,N12,91757.74,91001.01,-756.73,429.21
DDI - Cupom cambial,V12,90788.92,90040.18,-748.74,395.79
DDI - Cupom cambial,F13,89813.62,89072.93,-740.69,432.28
DDI - Cupom cambial,J13,88832.16,88099.56,-732.6,454.34
DDI - Cupom cambial,N13,87908.26,87183.28,-724.98,456.23
DDI - Cupom cambial,V13,86851.21,86134.95,-716.26,487.34
DDI - Cupom cambial,F14,85899.46,85191.05,-708.41,440.57
DDI - Cupom cambial,J14,84783.7,84084.49,-699.21,450.1
DDI - Cupom cambial,N14,83672.19,82982.14,-690.05,491.02
DDI - Cupom cambial,V14,82475.31,81795.13,-680.18,535.14
DDI - Cupom cambial,F15,81295.23,80624.79,-670.44,459.65
DDI - Cupom cambial,J15,80212.75,79551.23,-661.52,414.4
DDI - Cupom cambial,F16,76868.75,76234.81,-633.94,437.69
DDI - Cupom cambial,F17,72114.26,71519.53,-594.73,325.05
DDI - Cupom cambial,F18,67902.58,67342.59,-559.99,285.89
DDI - Cupom cambial,F19,63279.27,62757.4,-521.87,253.72
DDI - Cupom cambial,F20,59414.23,58924.24,-489.99,258.97
DDI - Cupom cambial,F21,55008.7,54555.04,-453.66,235.74
DDI - Cupom cambial,F22,51211.26,50788.92,-422.34,216.48
DI1 - DI de 1 dia,X09,99443.69,99411.07,-32.62,1.44
DI1 - DI de 1 dia,Z09,98786.03,98753.63,-32.4,2.48
DI1 - DI de 1 dia,F10,98067.68,98035.51,-32.17,3.68
DI1 - DI de 1 dia,G10,97398.5,97366.55,-31.95,10.98
DI1 - DI de 1 dia,J10,96033.04,96001.54,-31.5,16.19
DI1 - DI de 1 dia,N10,93826.99,93796.22,-30.77,41.86
DI1 - DI de 1 dia,V10,91288.95,91259.01,-29.94,53.83
DI1 - DI de 1 dia,F11,88663.46,88634.38,-29.08,54.43
DI1 - DI de 1 dia,J11,86070.64,86042.41,-28.23,39.71
DI1 - DI de 1 dia,N11,83490.34,83462.96,-27.38,57.75
DI1 - DI de 1 dia,V11,81004.61,80978.04,-26.57,6.87
DI1 - DI de 1 dia,F12,78660.18,78634.38,-25.8,71.08
DI1 - DI de 1 dia,J12,76305.4,76280.37,-25.03,25.96
DI1 - DI de 1 dia,N12,73948.33,73924.08,-24.25,64.04
DI1 - DI de 1 dia,V12,71761.91,71738.37,-23.54,30.12
DI1 - DI de 1 dia,F13,69800.73,69777.84,-22.89,108.69
DI1 - DI de 1 dia,J13,67593.64,67571.47,-22.17,75.6
DI1 - DI de 1 dia,N13,65610.39,65588.87,-21.52,35.51
DI1 - DI de 1 dia,V13,63577.24,63556.39,-20.85,91.5
DI1 - DI de 1 dia,F14,61667.6,61647.37,-20.23,50.49
DI1 - DI de 1 dia,J14,59859.71,59840.08,-19.63,26.73
DI1 - DI de 1 dia,N14,58104.05,58084.99,-19.06,149.04
DI1 - DI de 1 dia,F15,54506.52,54488.64,-17.88,69.09
DI1 - DI de 1 dia,J15,52924.95,52907.59,-17.36,34.25
DI1 - DI de 1 dia,F16,48312.75,48296.9,-15.85,60.06
