Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
B34 - Global 2034,F09,110.5938,106.9688,-3.625,3945.63
B37 - Global 2037,F09,100.4375,96.6563,-3.7812,4115.64
B40 - Global 2040,F09,122.8438,120.4375,-2.4063,2619.13
BG2 - Boi gordo,V08,94.38,93.99,-0.39,128.7
BG2 - Boi gordo,X08,95.13,94.93,-0.2,66.0
BG2 - Boi gordo,Z08,95.03,94.49,-0.54,178.2
BG2 - Boi gordo,F09,93.2,93.01,-0.19,62.7
BG2 - Boi gordo,G09,92.0,91.8,-0.2,66.0
BG2 - Boi gordo,H09,91.5,91.3,-0.2,66.0
BG2 - Boi gordo,J09,91.4,91.2,-0.2,66.0
BG2 - Boi gordo,K09,91.2,90.6,-0.6,198.0
BG2 - Boi gordo,M09,91.4,90.8,-0.6,198.0
BG2 - Boi gordo,Q09,98.2,97.2,-1.0,330.0
BG2 - Boi gordo,U09,97.5,96.5,-1.0,330.0
BG2 - Boi gordo,V09,96.8,95.6,-1.2,396.0
BG2 - Boi gordo,X09,97.05,96.1,-0.95,313.5
BGI - Boi gordo,V08,94.38,93.99,-0.39,128.7
BGI - Boi gordo,X08,95.13,94.93,-0.2,66.0
BGI - Boi gordo,Z08,95.03,94.49,-0.54,178.2
BGI - Boi gordo,F09,93.2,93.01,-0.19,62.7
BGI - Boi gordo,G09,92.0,91.8,-0.2,66.0
BGI - Boi gordo,H09,91.5,91.3,-0.2,66.0
BGI - Boi gordo,J09,91.4,91.2,-0.2,66.0
BGI - Boi gordo,K09,91.2,90.6,-0.6,198.0
BGI - Boi gordo,M09,91.4,90.8,-0.6,198.0
BGI - Boi gordo,Q09,98.2,97.2,-1.0,330.0
BGI - Boi gordo,U09,97.5,96.5,-1.0,330.0
BGI - Boi gordo,V09,96.8,95.6,-1.2,396.0
BGI - Boi gordo,X09,97.05,96.1,-0.95,313.5
CCM - Milho,H09,24.0,23.2,-0.8,360.0
CCM - Milho,K09,23.8,22.8,-1.0,450.0
CM2 - Milho,H09,24.0,23.2,-0.8,360.0
CM2 - Milho,K09,23.8,22.8,-1.0,450.0
CN2 - Milho,X08,23.0,22.03,-0.97,436.5
CN2 - Milho,F09,23.92,22.8,-1.12,504.0
CN2 - Milho,H09,24.4,23.29,-1.11,499.5
CN2 - Milho,K09,24.28,23.15,-1.13,508.5
CN2 - Milho,N09,25.0,23.85,-1.15,517.5
CN2 - Milho,U09,24.8,23.65,-1.15,517.5
COP - Milho base de preço Cascavel,H09,-3.9,-3.9,0.0,0.0
COP - Milho base de preço Cascavel,K09,-3.9,-3.9,0.0,0.0
DAP - Cupom de DI x IPCA,K09,94859.0,94823.85,-35.15,53.58
DAP - Cupom de DI x IPCA,Q10,84149.2,84118.02,-31.18,624.57
DAP - Cupom de DI x IPCA,Q12,69941.21,69915.29,-25.92,1569.58
DAP - Cupom de DI x IPCA,K15,55563.97,55543.38,-20.59,1951.85
DDI - Cupom cambial,X08,99725.86,105638.89,5913.03,6123.17
DDI - Cupom cambial,Z08,99281.28,105167.95,5886.67,6035.72
DDI - Cupom cambial,F09,98737.39,104591.81,5854.42,5938.89
DDI - Cupom cambial,G09,98187.0,104008.79,5821.79,5840.89
DDI - Cupom cambial,J09,97001.84,102753.36,5751.52,5680.77
DDI - Cupom cambial,N09,95289.32,100939.3,5649.98,5419.97
DDI - Cupom cambial,V09,93886.23,99453.01,5566.78,5398.74
DDI - Cupom cambial,F10,92497.04,97981.45,5484.41,5381.42
DDI - Cupom cambial,J10,91362.71,96779.87,5417.16,5290.67
DDI - Cupom cambial,N10,90229.99,95579.98,5349.99,5102.75
DDI - Cupom cambial,V10,88956.49,94230.97,5274.48,4953.52
DDI - Cupom cambial,F11,87624.82,92820.35,5195.53,4848.84
DDI - Cupom cambial,J11,86352.83,91472.94,5120.11,4778.61
DDI - Cupom cambial,N11,85000.54,90040.47,5039.93,4705.57
DDI - Cupom cambial,V11,83510.1,88461.65,4951.55,4543.7
DDI - Cupom cambial,F12,82217.65,87092.57,4874.92,4728.74
DDI - Cupom cambial,J12,80964.59,85765.21,4800.62,4692.39
DDI - Cupom cambial,N12,79560.58,84277.95,4717.37,4647.52
DDI - Cupom cambial,V12,78155.33,82789.38,4634.05,4663.53
DDI - Cupom cambial,F13,76845.2,81401.57,4556.37,4733.43
