Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
ALA - Álcool anidro,DEZ1,646.0,647.0,1.0,30.0
ALA - Álcool anidro,MAR2,669.0,669.0,0.0,0.0
ALA - Álcool anidro,MAI2,651.0,651.0,0.0,0.0
ALA - Álcool anidro,AGO2,509.0,510.0,1.0,30.0
ALA - Álcool anidro,OUT2,510.0,508.0,-2.0,60.0
ALA - Álcool anidro,DEZ2,514.0,513.0,-1.0,30.0
BCB - C-Bond,JAN2,72.9375,72.4375,-0.5,1264.95
BGI - Boi gordo,NOV1,45.48,45.8,0.32,105.6
BGI - Boi gordo,DEZ1,45.49,45.7,0.21,69.3
BGI - Boi gordo,JAN2,45.5,45.7,0.2,66.0
BGI - Boi gordo,FEV2,45.6,45.69,0.09,29.7
BGI - Boi gordo,MAR2,45.1,45.1,0.0,0.0
BGI - Boi gordo,ABR2,44.5,44.5,0.0,0.0
BGI - Boi gordo,MAI2,44.5,44.5,0.0,0.0
BGI - Boi gordo,JUN2,45.65,45.8,0.15,49.5
BGI - Boi gordo,JUL2,46.85,47.05,0.2,66.0
BGI - Boi gordo,AGO2,47.15,47.21,0.06,19.8
BGI - Boi gordo,SET2,48.3,48.35,0.05,16.5
BGI - Boi gordo,OUT2,49.9,49.84,-0.06,19.8
DDI - Cupom cambial,DEZ1,99767.42,100612.79,845.37,1068.12
DDI - Cupom cambial,JAN2,99589.51,100431.97,842.46,1064.44
DDI - Cupom cambial,FEV2,99341.06,100171.46,830.4,1049.21
DDI - Cupom cambial,MAR2,99059.22,99875.32,816.1,1031.14
DDI - Cupom cambial,ABR2,98716.23,99504.14,787.91,995.52
DDI - Cupom cambial,JUL2,97355.47,98102.91,747.44,944.39
DDI - Cupom cambial,OUT2,95860.54,96531.23,670.69,847.41
DDI - Cupom cambial,JAN3,93897.96,94562.65,664.69,839.83
DDI - Cupom cambial,ABR3,91507.71,92075.19,567.48,717.01
DDI - Cupom cambial,JUL3,89090.38,89539.94,449.56,568.01
DDI - Cupom cambial,OUT3,87150.7,87568.44,417.74,527.81
DDI - Cupom cambial,JAN4,85281.84,85590.75,308.91,390.3
DDI - Cupom cambial,ABR4,83510.55,83729.79,219.24,277.0
DDI - Cupom cambial,JUL4,81812.84,82003.06,190.22,240.34
DDI - Cupom cambial,OUT4,80091.29,80234.71,143.42,181.21
DDI - Cupom cambial,JAN5,78366.51,78487.7,121.19,153.12
DDI - Cupom cambial,ABR5,76841.37,76866.38,25.01,31.6
DDI - Cupom cambial,JUL5,75241.61,75158.93,-82.68,104.46
DDI - Cupom cambial,OUT5,73587.27,73429.8,-157.47,198.96
DDI - Cupom cambial,JAN6,71918.85,71851.41,-67.44,85.21
DDI - Cupom cambial,ABR6,70277.4,70299.46,22.06,27.87
DDI - Cupom cambial,JUL6,68774.27,68509.1,-265.17,335.04
DDI - Cupom cambial,OUT6,67058.73,66855.06,-203.67,257.33
DDI - Cupom cambial,JAN7,65582.05,65395.1,-186.95,236.21
DI1 - DI de 1 dia,DEZ1,99167.63,99171.64,4.01,4.01
DI1 - DI de 1 dia,JAN2,97778.77,97790.18,11.41,11.41
DI1 - DI de 1 dia,FEV2,96238.54,96255.0,16.46,16.46
DI1 - DI de 1 dia,MAR2,94942.65,94948.0,5.35,5.35
DI1 - DI de 1 dia,ABR2,93516.57,93507.94,-8.63,8.63
DI1 - DI de 1 dia,JUL2,89118.62,89089.0,-29.62,29.62
DI1 - DI de 1 dia,OUT2,84603.5,84531.0,-72.5,72.5
DI1 - DI de 1 dia,JAN3,80353.56,80250.0,-103.56,103.56
DI1 - DI de 1 dia,ABR3,76422.84,76299.0,-123.84,123.84
DI1 - DI de 1 dia,JUL3,72530.15,72336.0,-194.15,194.15
DI1 - DI de 1 dia,OUT3,68533.39,68280.0,-253.39,253.39
DI1 - DI de 1 dia,JAN4,64683.72,64347.0,-336.72,336.72
DI1 - DI de 1 dia,ABR4,61137.27,60710.0,-427.27,427.27
DI1 - DI de 1 dia,JUL4,57785.95,57280.0,-505.95,505.95
DI1 - DI de 1 dia,OUT4,54468.66,53889.0,-579.66,579.66
DOL - Dólar comercial,DEZ1,2542.28,2563.726,21.446,1072.3
DOL - Dólar comercial,JAN2,2573.78,2595.726,21.946,1097.3
DOL - Dólar comercial,FEV2,2608.465,2629.82,21.355,1067.75
DOL - Dólar comercial,MAR2,2636.567,2658.139,21.572,1078.6
DOL - Dólar comercial,ABR2,2667.505,2689.044,21.539,1076.95
DOL - Dólar comercial,MAI2,2699.638,2721.378,21.74,1087.0
DOL - Dólar comercial,JUN2,2730.672,2752.605,21.933,1096.65
DOL - Dólar comercial,JUL2,2760.56,2782.679,22.119,1105.95
DOL - Dólar comercial,AGO2,2795.915,2818.169,22.254,1112.7
DOL - Dólar comercial,SET2,2830.157,2852.54,22.383,1119.15
DOL - Dólar comercial,OUT2,2863.234,2885.739,22.505,1125.25
DOL - Dólar comercial,DEZ2,2923.207,2947.202,23.995,1199.75
DOL - Dólar comercial,JAN3,2952.951,2977.692,24.741,1237.05
DOL - Dólar comercial,MAR3,2976.64,3001.048,24.408,1220.4
DOL - Dólar comercial,ABR3,3025.797,3049.503,23.706,1185.3
DOL - Dólar comercial,JUN3,3051.208,3075.022,23.814,1190.7
DOM - Dólar comercial fracionário,DEZ1,2542.28,2563.726,21.446,107.23
FRC - FRA de cupom,JAN2,2.14,2.16,0.02,0.01
FRC - FRA de cupom,FEV2,2.58,2.64,0.06,0.03
FRC - FRA de cupom,MAR2,2.92,3.02,0.1,0.05
FRC - FRA de cupom,ABR2,3.22,3.37,0.15,0.07
FRC - FRA de cupom,JUL2,4.25,4.39,0.14,0.07
FRC - FRA de cupom,OUT2,4.86,5.04,0.18,0.09
FRC - FRA de cupom,JAN3,5.7,5.83,0.13,0.06
FRC - FRA de cupom,ABR3,6.71,6.9,0.19,0.09
FRC - FRA de cupom,JUL3,7.5,7.74,0.24,0.12
FRC - FRA de cupom,OUT3,7.81,8.04,0.23,0.11
FRC - FRA de cupom,JAN4,8.05,8.31,0.26,0.13
FRC - FRA de cupom,ABR4,8.24,8.54,0.3,0.15
FRC - FRA de cupom,JUL4,8.4,8.68,0.28,0.14
FRC - FRA de cupom,OUT4,8.56,8.85,0.29,0.14
FRC - FRA de cupom,JAN5,8.72,9.0,0.28,0.14
FRC - FRA de cupom,ABR5,8.84,9.15,0.31,0.15
FRC - FRA de cupom,JUL5,8.99,9.34,0.35,0.17
FRC - FRA de cupom,OUT5,9.15,9.52,0.37,0.18
FRC - FRA de cupom,JAN6,9.35,9.66,0.31,0.15
FRC - FRA de cupom,ABR6,9.55,9.81,0.26,0.13
FRC - FRA de cupom,JUL6,9.7,10.08,0.38,0.19
FRC - FRA de cupom,OUT6,9.95,10.3,0.35,0.17
FRC - FRA de cupom,JAN7,10.11,10.45,0.34,0.17
ICF - Café Arábica 4/5,DEZ1,49.2,52.1,2.9,290.0
ICF - Café Arábica 4/5,MAR2,51.65,54.7,3.05,305.0
ICF - Café Arábica 4/5,MAI2,51.8,54.9,3.1,310.0
ICF - Café Arábica 4/5,JUL2,50.3,53.5,3.2,320.0
ICF - Café Arábica 4/5,SET2,50.5,53.3,2.8,280.0
ICF - Café Arábica 4/5,DEZ2,52.1,55.2,3.1,310.0
ICF - Café Arábica 4/5,MAR3,53.0,56.0,3.0,300.0
ICN - Milho,NOV1,4.75,4.75,0.0,0.0
ICN - Milho,JAN2,5.25,5.1,-0.15,67.5
ICO - Algodão,DEZ1,37.0,37.0,0.0,0.0
IND - Ibovespa,DEZ1,13002.0,12958.0,-44.0,132.0
IND - Ibovespa,FEV2,13392.0,13346.0,-46.0,138.0
IND - Ibovespa,ABR2,13846.0,13803.0,-43.0,129.0
INF - Ibovespa fracionário,DEZ1,13002.0,12958.0,-44.0,13.2
