Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
B19 - Global 2019,J08,123.125,123.5938,0.4688,397.23
B34 - Global 2034,J08,119.125,120.0313,0.9063,767.95
B40 - Global 2040,J08,132.3125,132.6875,0.375,317.75
B40 - Global 2040,N08,130.5,130.9063,0.4063,344.27
BG2 - Boi gordo,H08,74.91,75.37,0.46,151.8
BG2 - Boi gordo,J08,73.61,74.52,0.91,300.3
BG2 - Boi gordo,K08,72.08,72.99,0.91,300.3
BG2 - Boi gordo,M08,72.75,73.8,1.05,346.5
BG2 - Boi gordo,N08,74.61,75.89,1.28,422.4
BG2 - Boi gordo,Q08,75.6,77.0,1.4,462.0
BG2 - Boi gordo,U08,76.35,77.7,1.35,445.5
BG2 - Boi gordo,V08,77.76,78.82,1.06,349.8
BG2 - Boi gordo,X08,78.2,79.31,1.11,366.3
BG2 - Boi gordo,F09,77.1,77.5,0.4,132.0
BGI - Boi gordo,H08,74.91,75.37,0.46,151.8
BGI - Boi gordo,J08,73.61,74.52,0.91,300.3
BGI - Boi gordo,K08,72.08,72.99,0.91,300.3
BGI - Boi gordo,M08,72.75,73.8,1.05,346.5
BGI - Boi gordo,N08,74.61,75.89,1.28,422.4
BGI - Boi gordo,Q08,75.6,77.0,1.4,462.0
BGI - Boi gordo,U08,76.35,77.7,1.35,445.5
BGI - Boi gordo,V08,77.76,78.82,1.06,349.8
BGI - Boi gordo,X08,78.2,79.31,1.11,366.3
BGI - Boi gordo,F09,77.1,77.5,0.4,132.0
CN2 - Milho,H08,26.65,27.17,0.52,234.0
CN2 - Milho,K08,22.7,23.0,0.3,135.0
CN2 - Milho,N08,24.3,24.39,0.09,40.5
CN2 - Milho,U08,24.49,24.86,0.37,166.5
CN2 - Milho,X08,25.7,26.1,0.4,180.0
CN2 - Milho,F09,26.71,27.0,0.29,130.5
DAP - Cupom de DI x IPCA,K09,91761.42,91744.47,-16.95,128.57
DAP - Cupom de DI x IPCA,Q10,83578.3,83562.86,-15.44,411.45
DAP - Cupom de DI x IPCA,Q12,72184.51,72171.17,-13.34,294.22
DAP - Cupom de DI x IPCA,K15,60190.44,60179.32,-11.12,837.61
DDI - Cupom cambial,J08,99199.74,98872.44,-327.3,1072.74
DDI - Cupom cambial,K08,98825.04,98498.98,-326.06,1066.11
DDI - Cupom cambial,M08,98460.5,98135.64,-324.86,1053.35
DDI - Cupom cambial,N08,98100.02,97776.35,-323.67,1033.62
DDI - Cupom cambial,V08,96962.87,96642.95,-319.92,1005.22
DDI - Cupom cambial,F09,95839.97,95523.76,-316.21,963.06
DDI - Cupom cambial,J09,94801.38,94488.59,-312.79,897.55
DDI - Cupom cambial,N09,93736.0,93426.73,-309.27,840.45
DDI - Cupom cambial,V09,92697.66,92391.82,-305.84,755.35
DDI - Cupom cambial,F10,91627.44,91325.13,-302.31,647.45
DDI - Cupom cambial,J10,90546.53,90247.78,-298.75,589.76
DDI - Cupom cambial,N10,89414.42,89119.41,-295.01,556.69
DDI - Cupom cambial,V10,88242.93,87951.78,-291.15,578.34
DDI - Cupom cambial,F11,86969.94,86682.99,-286.95,562.85
DDI - Cupom cambial,J11,85716.39,85433.58,-282.81,501.68
DDI - Cupom cambial,N11,84518.83,84239.97,-278.86,384.55
DDI - Cupom cambial,V11,83343.65,83068.67,-274.98,313.48
DDI - Cupom cambial,F12,82185.55,81914.39,-271.16,203.64
DDI - Cupom cambial,J12,80982.15,80714.96,-267.19,218.08
DDI - Cupom cambial,N12,79729.15,79466.09,-263.06,203.89
DDI - Cupom cambial,V12,78508.59,78249.56,-259.03,136.23
DDI - Cupom cambial,F13,77216.43,76961.66,-254.77,186.58
DDI - Cupom cambial,J13,76088.63,75837.58,-251.05,261.75
DDI - Cupom cambial,N13,74861.24,74614.24,-247.0,232.47
DDI - Cupom cambial,V13,73694.09,73450.95,-243.14,122.2
DDI - Cupom cambial,F14,72374.91,72136.12,-238.79,111.68
DDI - Cupom cambial,J14,71010.37,70776.08,-234.29,123.95
DDI - Cupom cambial,N14,69637.16,69407.4,-229.76,135.14
DDI - Cupom cambial,V14,68546.24,68320.08,-226.16,41.63
DDI - Cupom cambial,F15,67430.19,67207.71,-222.48,53.06
DDI - Cupom cambial,F16,63543.66,63334.01,-209.65,43.16
DDI - Cupom cambial,F17,59863.74,59666.23,-197.51,447.74
DDI - Cupom cambial,F18,56129.73,55944.54,-185.19,576.66
DDI - Cupom cambial,F19,52068.13,51896.34,-171.79,38.05
DDI - Cupom cambial,F22,41413.04,41276.4,-136.64,469.61
DI1 - DI de 1 dia,J08,99457.96,99416.43,-41.53,0.34
DI1 - DI de 1 dia,K08,98583.68,98542.52,-41.16,1.48
DI1 - DI de 1 dia,M08,97754.29,97713.48,-40.81,4.22
DI1 - DI de 1 dia,N08,96864.55,96824.11,-40.44,10.02
DI1 - DI de 1 dia,V08,94023.26,93984.0,-39.26,23.34
DI1 - DI de 1 dia,F09,91179.4,91141.33,-38.07,26.04
DI1 - DI de 1 dia,J09,88480.94,88444.0,-36.94,41.46
DI1 - DI de 1 dia,N09,85817.8,85781.97,-35.83,112.21
DI1 - DI de 1 dia,V09,83030.91,82996.24,-34.67,171.77
DI1 - DI de 1 dia,F10,80438.14,80404.56,-33.58,188.63
DI1 - DI de 1 dia,J10,78051.3,78018.71,-32.59,225.07
DI1 - DI de 1 dia,N10,75720.18,75688.56,-31.62,243.86
DI1 - DI de 1 dia,V10,73406.87,73376.22,-30.65,276.11
DI1 - DI de 1 dia,F11,71300.32,71270.55,-29.77,307.5
DI1 - DI de 1 dia,J11,69229.17,69200.27,-28.9,331.61
DI1 - DI de 1 dia,N11,67216.87,67188.81,-28.06,357.25
DI1 - DI de 1 dia,V11,65191.58,65164.36,-27.22,403.8
