Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
AL2 - Álcool Anidro,JAN6,1120.0,1115.0,-5.0,150.0
AL2 - Álcool Anidro,FEV6,1152.5,1154.33,1.83,54.9
AL2 - Álcool Anidro,MAR6,1180.0,1180.0,0.0,0.0
ALA - Álcool anidro,JAN6,1120.0,1115.0,-5.0,150.0
ALA - Álcool anidro,FEV6,1152.5,1154.33,1.83,54.9
ALA - Álcool anidro,MAR6,1180.0,1180.0,0.0,0.0
B14 - Global 2014,JAN6,120.8125,121.0938,0.2813,330.48
B19 - Global 2019,JAN6,110.8438,111.0,0.1562,183.51
B27 - Global 2027,JAN6,123.25,123.6563,0.4063,477.34
B34 - Global 2034,JAN6,103.7813,104.125,0.3437,403.79
B40 - Global 2040,JAN6,126.375,126.9063,0.5313,624.19
BG2 - Boi gordo,DEZ5,51.14,51.58,0.44,145.2
BG2 - Boi gordo,JAN6,51.26,51.66,0.4,132.0
BG2 - Boi gordo,FEV6,51.8,52.7,0.9,297.0
BG2 - Boi gordo,MAR6,52.0,53.18,1.18,389.4
BG2 - Boi gordo,ABR6,52.05,53.0,0.95,313.5
BG2 - Boi gordo,MAI6,52.06,52.99,0.93,306.9
BG2 - Boi gordo,JUN6,53.65,54.51,0.86,283.8
BG2 - Boi gordo,JUL6,56.0,57.0,1.0,330.0
BG2 - Boi gordo,AGO6,57.0,57.79,0.79,260.7
BG2 - Boi gordo,SET6,58.23,58.91,0.68,224.4
BG2 - Boi gordo,OUT6,59.37,60.12,0.75,247.5
BG2 - Boi gordo,NOV6,59.6,60.45,0.85,280.5
BG2 - Boi gordo,DEZ6,59.7,60.19,0.49,161.7
BG2 - Boi gordo,JAN7,59.7,60.0,0.3,99.0
BGI - Boi gordo,DEZ5,51.14,51.58,0.44,145.2
BGI - Boi gordo,JAN6,51.26,51.66,0.4,132.0
BGI - Boi gordo,FEV6,51.8,52.7,0.9,297.0
BGI - Boi gordo,MAR6,52.0,53.18,1.18,389.4
BGI - Boi gordo,ABR6,52.05,53.0,0.95,313.5
BGI - Boi gordo,MAI6,52.06,52.99,0.93,306.9
BGI - Boi gordo,JUN6,53.65,54.51,0.86,283.8
BGI - Boi gordo,JUL6,56.0,57.0,1.0,330.0
BGI - Boi gordo,AGO6,57.0,57.79,0.79,260.7
BGI - Boi gordo,SET6,58.23,58.91,0.68,224.4
BGI - Boi gordo,OUT6,59.37,60.12,0.75,247.5
BGI - Boi gordo,NOV6,59.6,60.45,0.85,280.5
BGI - Boi gordo,DEZ6,59.7,60.19,0.49,161.7
BGI - Boi gordo,JAN7,59.7,60.0,0.3,99.0
BRI - Futuro do Índice Brasil 50,FEV6,4815.0,4810.0,-5.0,50.0
BZ2 - Bezerro,FEV6,330.0,330.0,0.0,0.0
BZE - Bezerro,FEV6,330.0,330.0,0.0,0.0
CN2 - Milho,JAN6,17.0,16.9,-0.1,45.0
CN2 - Milho,MAR6,16.83,16.75,-0.08,36.0
CN2 - Milho,MAI6,17.01,16.9,-0.11,49.5
CN2 - Milho,JUL6,17.55,17.4,-0.15,67.5
CN2 - Milho,SET6,17.7,17.74,0.04,18.0
CN2 - Milho,NOV6,18.0,18.0,0.0,0.0
CO2 - Algodão,MAR6,53.2,53.2,0.0,0.0
CO2 - Algodão,MAI6,53.1,53.7,0.6,388.23
CO2 - Algodão,JUL6,55.0,54.0,-1.0,647.05
CO2 - Algodão,OUT6,55.6,55.6,0.0,0.0
COT - Algodão,MAR6,53.2,53.2,0.0,0.0
COT - Algodão,MAI6,53.1,53.7,0.6,388.23
COT - Algodão,JUL6,55.0,54.0,-1.0,647.05
COT - Algodão,OUT6,55.6,55.6,0.0,0.0
DDI - Cupom cambial,JAN6,100062.68,98707.18,-1355.5,1608.63
DDI - Cupom cambial,FEV6,99723.02,98372.62,-1350.4,1602.58
