Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
ALA - Álcool anidro,MAR3,837.0,836.0,-1.0,30.0
ALA - Álcool anidro,MAI3,846.0,846.0,0.0,0.0
ALA - Álcool anidro,AGO3,701.0,705.0,4.0,120.0
ALA - Álcool anidro,SET3,705.0,706.0,1.0,30.0
BCB - C-Bond,JAN3,59.5313,59.9375,0.4062,1463.53
BGI - Boi gordo,NOV2,56.55,56.56,0.01,3.3
BGI - Boi gordo,DEZ2,55.18,55.0,-0.18,59.4
BGI - Boi gordo,JAN3,54.3,54.1,-0.2,66.0
BGI - Boi gordo,FEV3,53.6,53.32,-0.28,92.4
BGI - Boi gordo,MAR3,53.2,53.1,-0.1,33.0
BGI - Boi gordo,ABR3,53.0,52.95,-0.05,16.5
BGI - Boi gordo,MAI3,52.25,52.2,-0.05,16.5
BGI - Boi gordo,JUN3,53.2,53.2,0.0,0.0
BGI - Boi gordo,OUT3,62.6,63.06,0.46,151.8
BZE - Bezerro,FEV3,405.0,403.0,-2.0,66.0
BZE - Bezerro,MAR3,404.0,404.0,0.0,0.0
BZE - Bezerro,ABR3,406.0,405.0,-1.0,33.0
BZE - Bezerro,MAI3,406.0,406.0,0.0,0.0
BZE - Bezerro,JUN3,409.0,409.0,0.0,0.0
CNL - Café conillon,MAI3,44.5,44.5,0.0,0.0
CNL - Café conillon,JUL3,45.0,45.0,0.0,0.0
CNL - Café conillon,SET3,46.0,46.0,0.0,0.0
COT - Algodão,MAR3,47.0,47.0,0.0,0.0
COT - Algodão,MAI3,47.0,47.0,0.0,0.0
COT - Algodão,JUL3,45.1,45.1,0.0,0.0
COT - Algodão,OUT3,47.0,47.0,0.0,0.0
DDI - Cupom cambial,DEZ2,99423.04,99673.29,250.25,449.17
DDI - Cupom cambial,JAN3,97179.9,97475.39,295.49,530.37
DDI - Cupom cambial,FEV3,94739.34,94942.87,203.53,365.31
DDI - Cupom cambial,MAR3,92227.91,92537.35,309.44,555.41
DDI - Cupom cambial,ABR3,89733.3,90041.33,308.03,552.88
DDI - Cupom cambial,JUL3,84690.48,84999.38,308.9,554.44
DDI - Cupom cambial,OUT3,79618.24,80057.87,439.63,789.09
DDI - Cupom cambial,JAN4,75064.12,75459.04,394.92,708.84
DDI - Cupom cambial,ABR4,71071.29,71427.01,355.72,638.48
DDI - Cupom cambial,JUL4,67066.59,67429.2,362.61,650.84
DDI - Cupom cambial,OUT4,63846.57,64083.69,237.12,425.6
DDI - Cupom cambial,JAN5,60781.55,61046.28,264.73,475.16
DDI - Cupom cambial,ABR5,58167.39,58297.14,129.75,232.88
DDI - Cupom cambial,JUL5,55821.37,55811.37,-10.0,17.94
DDI - Cupom cambial,OUT5,53074.03,53291.02,216.99,389.47
DDI - Cupom cambial,JAN6,50860.26,51355.46,495.2,888.83
DDI - Cupom cambial,ABR6,49172.55,49620.94,448.39,804.81
DDI - Cupom cambial,JUL6,47553.25,47818.32,265.07,475.77
DDI - Cupom cambial,OUT6,45681.98,45942.58,260.6,467.75
DDI - Cupom cambial,JAN7,44316.12,45026.75,710.63,1275.5
DDI - Cupom cambial,ABR7,43297.92,43965.18,667.26,1197.66
DDI - Cupom cambial,JUL7,41934.42,42637.98,703.56,1262.81
DDI - Cupom cambial,OUT7,40654.19,41519.5,865.31,1553.14
DDI - Cupom cambial,JAN8,39424.13,40533.61,1109.48,1991.4
DI1 - DI de 1 dia,DEZ2,99843.41,99843.22,-0.19,0.19
DI1 - DI de 1 dia,JAN3,98145.04,98134.68,-10.36,10.36
DI1 - DI de 1 dia,FEV3,96236.15,96196.96,-39.19,39.19
DI1 - DI de 1 dia,MAR3,94438.77,94360.12,-78.65,78.65
DI1 - DI de 1 dia,ABR3,92693.5,92582.33,-111.17,111.17
DI1 - DI de 1 dia,JUL3,86808.24,86602.82,-205.42,205.42
DI1 - DI de 1 dia,OUT3,80418.4,80102.35,-316.05,316.05
DI1 - DI de 1 dia,JAN4,74127.53,73780.71,-346.82,346.82
