Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
AUD - Dólar Australiano (em Reais),K14,2071.115,2089.809,18.694,1121.64
AUD - Dólar Australiano (em Reais),M14,2083.086,2101.822,18.736,1124.16
AUD - Dólar Australiano (em Reais),N14,2094.426,2113.237,18.811,1128.66
AUD - Dólar Australiano (em Reais),Q14,2107.995,2126.877,18.882,1132.92
BGI - Boi gordo,J14,121.2,121.01,-0.19,62.7
BGI - Boi gordo,K14,117.24,116.95,-0.29,95.7
BGI - Boi gordo,M14,118.21,118.0,-0.21,69.3
BGI - Boi gordo,N14,119.34,118.75,-0.59,194.7
BGI - Boi gordo,Q14,120.12,119.64,-0.48,158.4
BGI - Boi gordo,U14,120.95,120.59,-0.36,118.8
BGI - Boi gordo,V14,121.83,121.6,-0.23,75.9
BGI - Boi gordo,X14,122.62,122.49,-0.13,42.9
BGI - Boi gordo,Z14,121.63,121.5,-0.13,42.9
BRI - Futuro do Índice Brasil 50,M14,8705.0,8908.0,203.0,2030.0
BRI - Futuro do Índice Brasil 50,Q14,8762.0,9042.0,280.0,2800.0
CAD - Dólar Canadense (em Reais),K14,2014.161,2030.67,16.509,990.54
CAD - Dólar Canadense (em Reais),M14,2028.862,2045.429,16.567,994.02
CAD - Dólar Canadense (em Reais),N14,2042.86,2059.514,16.654,999.24
CCM - Milho,K14,31.52,31.53,0.01,4.5
CCM - Milho,N14,31.25,31.5,0.25,112.5
CCM - Milho,U14,30.65,30.58,-0.07,31.5
CCM - Milho,X14,31.6,31.52,-0.08,36.0
CCM - Milho,F15,32.5,32.41,-0.09,40.5
CHF - Franco Suíço (em Reais),K14,2512.235,2544.881,32.646,1632.3
CHF - Franco Suíço (em Reais),M14,2533.402,2565.956,32.554,1627.7
CLP - Peso Chileno (em Reais),K14,4036.39,4049.011,12.621,315.52
DAP - Cupom de DI x IPCA,Q14,98544.82,98547.7,2.88,19.2
DAP - Cupom de DI x IPCA,K15,95185.31,95188.09,2.78,19.26
DAP - Cupom de DI x IPCA,K17,84029.49,84031.94,2.45,196.79
DDI - Cupom cambial,K14,100513.34,100801.46,288.12,1308.9
DDI - Cupom cambial,M14,100464.42,100752.4,287.98,1306.26
DDI - Cupom cambial,N14,100400.91,100688.71,287.8,1303.07
DDI - Cupom cambial,Q14,100316.51,100604.07,287.56,1306.13
DDI - Cupom cambial,V14,100118.31,100405.3,286.99,1309.38
DDI - Cupom cambial,F15,99736.28,100022.17,285.89,1317.37
