Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
AL2 - Álcool Anidro,H07,875.0,875.0,0.0,0.0
AL2 - Álcool Anidro,J07,890.0,909.38,19.38,581.4
AL2 - Álcool Anidro,M07,775.0,790.0,15.0,450.0
AL2 - Álcool Anidro,N07,770.0,785.0,15.0,450.0
ALA - Álcool anidro,H07,875.0,875.0,0.0,0.0
ALA - Álcool anidro,J07,890.0,909.38,19.38,581.4
ALA - Álcool anidro,M07,775.0,790.0,15.0,450.0
ALA - Álcool anidro,N07,770.0,785.0,15.0,450.0
B19 - Global 2019,J07,124.0313,124.4375,0.4062,427.6
B34 - Global 2034,J07,123.25,123.6563,0.4063,427.71
B40 - Global 2040,J07,133.4688,133.5938,0.125,131.58
BG2 - Boi gordo,H07,55.17,55.43,0.26,85.8
BG2 - Boi gordo,J07,53.95,54.09,0.14,46.2
BG2 - Boi gordo,K07,52.87,53.06,0.19,62.7
BG2 - Boi gordo,M07,53.9,54.15,0.25,82.5
BG2 - Boi gordo,N07,56.4,56.55,0.15,49.5
BG2 - Boi gordo,Q07,57.75,57.97,0.22,72.6
BG2 - Boi gordo,U07,59.1,59.35,0.25,82.5
BG2 - Boi gordo,V07,60.74,60.92,0.18,59.4
BG2 - Boi gordo,X07,60.69,60.85,0.16,52.8
BG2 - Boi gordo,Z07,59.95,60.15,0.2,66.0
BGI - Boi gordo,H07,55.17,55.43,0.26,85.8
BGI - Boi gordo,J07,53.95,54.09,0.14,46.2
BGI - Boi gordo,K07,52.87,53.06,0.19,62.7
BGI - Boi gordo,M07,53.9,54.15,0.25,82.5
BGI - Boi gordo,N07,56.4,56.55,0.15,49.5
BGI - Boi gordo,Q07,57.75,57.97,0.22,72.6
BGI - Boi gordo,U07,59.1,59.35,0.25,82.5
BGI - Boi gordo,V07,60.74,60.92,0.18,59.4
BGI - Boi gordo,X07,60.69,60.85,0.16,52.8
BGI - Boi gordo,Z07,59.95,60.15,0.2,66.0
BRI - Futuro do Índice Brasil 50,J07,6293.0,6328.0,35.0,350.0
BZ2 - Bezerro,H07,380.4,381.02,0.62,20.46
BZ2 - Bezerro,J07,384.06,384.25,0.19,6.27
BZ2 - Bezerro,K07,380.77,380.94,0.17,5.61
BZE - Bezerro,H07,380.4,381.02,0.62,20.46
BZE - Bezerro,J07,384.06,384.25,0.19,6.27
BZE - Bezerro,K07,380.77,380.94,0.17,5.61
CN2 - Milho,H07,20.7,20.7,0.0,0.0
CN2 - Milho,K07,19.99,20.0,0.01,4.5
CN2 - Milho,N07,20.1,20.14,0.04,18.0
CN2 - Milho,U07,20.1,20.2,0.1,45.0
CN2 - Milho,X07,21.01,21.11,0.1,45.0
CN2 - Milho,F08,21.65,21.9,0.25,112.5
CO2 - Algodão,K07,64.5,64.5,0.0,0.0
CO2 - Algodão,N07,58.65,58.65,0.0,0.0
CO2 - Algodão,V07,57.5,57.5,0.0,0.0
COT - Algodão,K07,64.5,64.5,0.0,0.0
COT - Algodão,N07,58.65,58.65,0.0,0.0
COT - Algodão,V07,57.5,57.5,0.0,0.0
DAP - Cupom de DI x IPCA,Q10,77654.58,77543.64,-110.94,146.18
DAP - Cupom de DI x IPCA,K15,54739.93,54743.89,3.96,5.21
DDI - Cupom cambial,J07,99474.19,99202.93,-271.26,286.46
DDI - Cupom cambial,K07,98932.1,98655.54,-276.56,292.06
DDI - Cupom cambial,M07,98396.38,98127.94,-268.44,283.48
DDI - Cupom cambial,N07,97900.39,97634.21,-266.18,281.09
DDI - Cupom cambial,V07,96484.58,96221.15,-263.43,278.19
DDI - Cupom cambial,F08,95082.75,94816.69,-266.06,280.97
DDI - Cupom cambial,J08,93744.94,93459.4,-285.54,301.54
DDI - Cupom cambial,N08,92421.64,92156.53,-265.11,279.96
DDI - Cupom cambial,V08,91175.47,90873.22,-302.25,319.19
DDI - Cupom cambial,F09,89934.02,89635.85,-298.17,314.88
