Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
B34 - Global 2034,N08,123.1875,124.0625,0.875,737.93
B40 - Global 2040,N08,134.125,134.3438,0.2188,184.52
BG2 - Boi gordo,J08,77.35,76.61,-0.74,244.2
BG2 - Boi gordo,K08,76.9,75.84,-1.06,349.8
BG2 - Boi gordo,M08,77.7,76.51,-1.19,392.7
BG2 - Boi gordo,N08,80.15,79.25,-0.9,297.0
BG2 - Boi gordo,Q08,80.91,80.04,-0.87,287.1
BG2 - Boi gordo,U08,82.1,81.2,-0.9,297.0
BG2 - Boi gordo,V08,83.84,82.83,-1.01,333.3
BG2 - Boi gordo,X08,83.5,82.85,-0.65,214.5
BG2 - Boi gordo,Z08,82.5,82.4,-0.1,33.0
BG2 - Boi gordo,F09,82.5,82.42,-0.08,26.4
BGI - Boi gordo,J08,77.35,76.61,-0.74,244.2
BGI - Boi gordo,K08,76.9,75.84,-1.06,349.8
BGI - Boi gordo,M08,77.7,76.51,-1.19,392.7
BGI - Boi gordo,N08,80.15,79.25,-0.9,297.0
BGI - Boi gordo,Q08,80.91,80.04,-0.87,287.1
BGI - Boi gordo,U08,82.1,81.2,-0.9,297.0
BGI - Boi gordo,V08,83.84,82.83,-1.01,333.3
BGI - Boi gordo,X08,83.5,82.85,-0.65,214.5
BGI - Boi gordo,Z08,82.5,82.4,-0.1,33.0
BGI - Boi gordo,F09,82.5,82.42,-0.08,26.4
CN2 - Milho,K08,25.4,25.28,-0.12,54.0
CN2 - Milho,N08,26.92,26.75,-0.17,76.5
CN2 - Milho,U08,27.29,27.15,-0.14,63.0
CN2 - Milho,X08,28.44,28.15,-0.29,130.5
CN2 - Milho,F09,29.3,28.9,-0.4,180.0
DAP - Cupom de DI x IPCA,K09,91594.43,91578.08,-16.35,10.57
DAP - Cupom de DI x IPCA,Q10,82992.83,82978.02,-14.81,72.36
DAP - Cupom de DI x IPCA,Q12,71404.51,71391.77,-12.74,142.71
DAP - Cupom de DI x IPCA,K15,59073.08,59062.54,-10.54,107.23
DDI - Cupom cambial,K08,99837.62,99742.66,-94.96,204.75
DDI - Cupom cambial,M08,99574.76,99480.05,-94.71,205.11
DDI - Cupom cambial,N08,99326.91,99232.44,-94.47,216.4
DDI - Cupom cambial,Q08,99039.66,98945.46,-94.2,214.89
DDI - Cupom cambial,V08,98467.74,98374.09,-93.65,217.24
DDI - Cupom cambial,F09,97550.99,97458.21,-92.78,252.11
DDI - Cupom cambial,J09,96682.52,96590.57,-91.95,255.59
DDI - Cupom cambial,N09,95758.82,95667.74,-91.08,279.61
DDI - Cupom cambial,V09,94758.08,94667.96,-90.12,332.46
DDI - Cupom cambial,F10,93776.98,93687.79,-89.19,318.37
DDI - Cupom cambial,J10,92880.69,92792.35,-88.34,298.08
DDI - Cupom cambial,N10,91887.03,91799.64,-87.39,339.95
DDI - Cupom cambial,V10,90809.89,90723.52,-86.37,340.62
DDI - Cupom cambial,F11,89715.92,89630.59,-85.33,312.43
DDI - Cupom cambial,J11,88663.13,88578.8,-84.33,309.2
DDI - Cupom cambial,N11,87619.17,87535.84,-83.33,279.62
DDI - Cupom cambial,V11,86488.85,86406.59,-82.26,354.15
DDI - Cupom cambial,F12,85239.88,85158.81,-81.07,334.15
DDI - Cupom cambial,J12,84058.17,83978.22,-79.95,309.51
DDI - Cupom cambial,N12,82808.47,82729.71,-78.76,329.25
DDI - Cupom cambial,V12,81608.59,81530.97,-77.62,373.76
DDI - Cupom cambial,F13,80416.34,80339.86,-76.48,312.99
DDI - Cupom cambial,J13,79290.77,79215.36,-75.41,381.83
DDI - Cupom cambial,N13,78083.6,78009.34,-74.26,395.87
DDI - Cupom cambial,V13,76900.61,76827.47,-73.14,381.05
DDI - Cupom cambial,F14,75579.18,75507.3,-71.88,390.81
DDI - Cupom cambial,J14,74328.21,74257.52,-70.69,370.37
DDI - Cupom cambial,N14,73265.87,73196.19,-69.68,206.92
DDI - Cupom cambial,V14,71863.89,71795.54,-68.35,442.47
DDI - Cupom cambial,F15,70629.85,70562.67,-67.18,389.97
DDI - Cupom cambial,F16,65635.36,65572.93,-62.43,427.91
DDI - Cupom cambial,F17,60947.88,60889.91,-57.97,311.8
DDI - Cupom cambial,F18,56451.73,56398.04,-53.69,356.96
DDI - Cupom cambial,F19,52280.29,52230.57,-49.72,162.89
