Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
AL2 - Álcool Anidro,Z07,800.0,820.0,20.0,600.0
ALA - Álcool anidro,Z07,800.0,820.0,20.0,600.0
B19 - Global 2019,F08,124.1875,124.5,0.3125,273.28
B34 - Global 2034,F08,126.125,126.6875,0.5625,491.9
B40 - Global 2040,F08,132.6563,133.1563,0.5,437.25
BG2 - Boi gordo,X07,70.15,69.58,-0.57,188.1
BG2 - Boi gordo,Z07,68.9,67.93,-0.97,320.1
BG2 - Boi gordo,F08,65.57,64.79,-0.78,257.4
BG2 - Boi gordo,G08,64.0,63.45,-0.55,181.5
BG2 - Boi gordo,H08,63.7,63.2,-0.5,165.0
BG2 - Boi gordo,J08,63.5,63.05,-0.45,148.5
BG2 - Boi gordo,K08,63.45,62.99,-0.46,151.8
BG2 - Boi gordo,N08,65.71,65.4,-0.31,102.3
BG2 - Boi gordo,V08,67.76,66.99,-0.77,254.1
BG2 - Boi gordo,F09,65.5,64.85,-0.65,214.5
BGI - Boi gordo,X07,70.15,69.58,-0.57,188.1
BGI - Boi gordo,Z07,68.9,67.93,-0.97,320.1
BGI - Boi gordo,F08,65.57,64.79,-0.78,257.4
BGI - Boi gordo,G08,64.0,63.45,-0.55,181.5
BGI - Boi gordo,H08,63.7,63.2,-0.5,165.0
BGI - Boi gordo,J08,63.5,63.05,-0.45,148.5
BGI - Boi gordo,K08,63.45,62.99,-0.46,151.8
BGI - Boi gordo,N08,65.71,65.4,-0.31,102.3
BGI - Boi gordo,V08,67.76,66.99,-0.77,254.1
BGI - Boi gordo,F09,65.5,64.85,-0.65,214.5
BRI - Futuro do Índice Brasil 50,Z07,9546.0,9692.0,146.0,1460.0
BZ2 - Bezerro,J08,501.95,501.7,-0.25,8.25
BZ2 - Bezerro,K08,494.55,494.4,-0.15,4.95
BZE - Bezerro,J08,501.95,501.7,-0.25,8.25
BZE - Bezerro,K08,494.55,494.4,-0.15,4.95
CN2 - Milho,X07,30.2,29.5,-0.7,315.0
CN2 - Milho,F08,31.6,32.02,0.42,189.0
CN2 - Milho,H08,25.6,25.68,0.08,36.0
CN2 - Milho,K08,23.06,22.87,-0.19,85.5
CN2 - Milho,N08,22.6,22.55,-0.05,22.5
CN2 - Milho,U08,22.67,22.68,0.01,4.5
CN2 - Milho,X08,23.2,23.2,0.0,0.0
DAP - Cupom de DI x IPCA,Q10,81954.48,81931.43,-23.05,101.55
DAP - Cupom de DI x IPCA,K15,58391.22,58374.8,-16.42,863.9
DDI - Cupom cambial,Z07,99416.95,100154.24,737.29,12.99
DDI - Cupom cambial,F08,98944.76,99678.54,733.78,11.35
DDI - Cupom cambial,G08,98475.71,99206.02,730.31,2.03
DDI - Cupom cambial,H08,98054.78,98781.96,727.18,10.57
DDI - Cupom cambial,J08,97600.73,98324.55,723.82,21.65
DDI - Cupom cambial,N08,96241.98,96955.72,713.74,62.56
DDI - Cupom cambial,V08,94902.0,95605.8,703.8,88.54
DDI - Cupom cambial,F09,93545.12,94238.86,693.74,93.26
DDI - Cupom cambial,J09,92295.4,92979.87,684.47,124.23
DDI - Cupom cambial,N09,91067.75,91743.12,675.37,155.97
DDI - Cupom cambial,V09,89897.89,90564.58,666.69,193.12
DDI - Cupom cambial,F10,88678.98,89336.63,657.65,195.9
DDI - Cupom cambial,J10,87627.03,88276.88,649.85,298.98
DDI - Cupom cambial,N10,86590.6,87232.76,642.16,394.5
DDI - Cupom cambial,V10,85441.2,86074.84,633.64,419.29
DDI - Cupom cambial,F11,84281.5,84906.54,625.04,479.49
DDI - Cupom cambial,J11,83223.84,83841.04,617.2,495.56
DDI - Cupom cambial,N11,82172.25,82781.65,609.4,487.48
DDI - Cupom cambial,V11,81131.8,81733.48,601.68,610.23
DDI - Cupom cambial,F12,80086.75,80680.68,593.93,595.78
DDI - Cupom cambial,J12,79111.76,79698.46,586.7,673.46
DDI - Cupom cambial,N12,78067.08,78646.03,578.95,725.67
DDI - Cupom cambial,V12,77153.46,77725.64,572.18,855.76
DDI - Cupom cambial,F13,76178.09,76743.03,564.94,910.44
DDI - Cupom cambial,J13,75286.39,75844.72,558.33,1043.09
DDI - Cupom cambial,N13,74296.09,74847.08,550.99,1121.79
DDI - Cupom cambial,V13,73276.54,73819.97,543.43,1199.13
