Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
ALA - Álcool anidro,DEZ2,812.0,824.0,12.0,360.0
ALA - Álcool anidro,MAR3,850.0,863.0,13.0,390.0
ALA - Álcool anidro,MAI3,870.0,883.0,13.0,390.0
ALA - Álcool anidro,AGO3,785.0,795.0,10.0,300.0
ALA - Álcool anidro,SET3,760.0,760.0,0.0,0.0
BCB - C-Bond,JAN3,55.3438,53.3125,-2.0313,7761.8
BGI - Boi gordo,OUT2,56.05,56.1,0.05,16.5
BGI - Boi gordo,NOV2,58.85,58.69,-0.16,52.8
BGI - Boi gordo,DEZ2,58.68,58.25,-0.43,141.9
BGI - Boi gordo,JAN3,56.9,56.7,-0.2,66.0
BGI - Boi gordo,FEV3,55.84,55.6,-0.24,79.2
BGI - Boi gordo,MAR3,55.42,55.25,-0.17,56.1
BGI - Boi gordo,ABR3,55.7,55.25,-0.45,148.5
BGI - Boi gordo,MAI3,54.9,54.45,-0.45,148.5
BGI - Boi gordo,OUT3,63.7,63.7,0.0,0.0
BZE - Bezerro,FEV3,410.0,407.0,-3.0,99.0
BZE - Bezerro,MAR3,421.0,410.0,-11.0,363.0
BZE - Bezerro,ABR3,417.1,405.0,-12.1,399.3
BZE - Bezerro,MAI3,420.0,407.4,-12.6,415.8
BZE - Bezerro,JUN3,417.1,404.59,-12.51,412.83
CNL - Café conillon,MAI3,38.5,37.3,-1.2,1141.5
CNL - Café conillon,JUL3,39.25,38.05,-1.2,1141.5
CNL - Café conillon,SET3,40.0,38.8,-1.2,1141.5
DDI - Cupom cambial,NOV2,99584.19,101205.95,1621.76,3033.17
DDI - Cupom cambial,DEZ2,95805.52,97342.18,1536.66,2874.01
DDI - Cupom cambial,JAN3,91921.58,93656.95,1735.37,3245.66
DDI - Cupom cambial,FEV3,88328.16,90185.26,1857.1,3473.33
DDI - Cupom cambial,ABR3,85338.94,86883.78,1544.84,2889.31
DDI - Cupom cambial,JUL3,82306.26,83869.75,1563.49,2924.19
DDI - Cupom cambial,OUT3,78043.96,78660.57,616.61,1153.24
DDI - Cupom cambial,JAN4,73355.23,74160.9,805.67,1506.84
DDI - Cupom cambial,ABR4,69601.88,70693.58,1091.7,2041.8
DDI - Cupom cambial,JUL4,66470.81,67206.5,735.69,1375.96
DDI - Cupom cambial,OUT4,63365.26,63916.22,550.96,1030.46
DDI - Cupom cambial,JAN5,60328.71,60908.52,579.81,1084.41
DDI - Cupom cambial,ABR5,58234.74,58539.58,304.84,570.14
DDI - Cupom cambial,JUL5,55952.38,56308.84,356.46,666.68
DDI - Cupom cambial,OUT5,53986.85,54209.19,222.34,415.84
DDI - Cupom cambial,JAN6,51738.16,52247.56,509.4,952.73
DDI - Cupom cambial,ABR6,49855.31,50495.22,639.91,1196.82
DDI - Cupom cambial,JUL6,48151.82,48803.53,651.71,1218.89
DDI - Cupom cambial,OUT6,46519.64,47096.5,576.86,1078.9
DDI - Cupom cambial,JAN7,45150.47,45489.0,338.53,633.15
DDI - Cupom cambial,ABR7,43734.56,44054.67,320.11,598.7
DDI - Cupom cambial,JUL7,42183.5,42865.43,681.93,1275.41
DDI - Cupom cambial,OUT7,41348.46,41289.58,-58.88,110.12
DDI - Cupom cambial,JAN8,39706.15,39938.17,232.02,433.94
DI1 - DI de 1 dia,NOV2,99772.21,99772.87,0.66,0.66
DI1 - DI de 1 dia,DEZ2,98199.16,98194.12,-5.04,5.04
DI1 - DI de 1 dia,JAN3,96407.47,96393.18,-14.29,14.29
DI1 - DI de 1 dia,FEV3,94471.63,94436.23,-35.4,35.4
