Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
AUD - Dólar Australiano (em Reais),N12,1977.636,1996.409,18.773,1126.38
AUD - Dólar Australiano (em Reais),Q12,1982.377,2001.012,18.635,1118.1
B20 - Global 2020,N12,166.5937,166.5312,-0.0625,63.78
B40 - Global 2040,N12,128.0,127.9062,-0.0938,95.72
BGI - Boi gordo,M12,93.94,94.0,0.06,19.8
BGI - Boi gordo,N12,96.5,96.4,-0.1,33.0
BGI - Boi gordo,Q12,97.6,97.4,-0.2,66.0
BGI - Boi gordo,U12,99.97,99.51,-0.46,151.8
BGI - Boi gordo,V12,101.18,101.44,0.26,85.8
BGI - Boi gordo,X12,102.2,102.4,0.2,66.0
BGI - Boi gordo,Z12,101.15,101.35,0.2,66.0
CAD - Dólar Canadense (em Reais),N12,1968.665,1978.896,10.231,613.86
CAD - Dólar Canadense (em Reais),Q12,1977.865,1988.008,10.143,608.58
CCM - Milho,N12,23.8,24.2,0.4,180.0
CCM - Milho,U12,23.48,24.07,0.59,265.5
CCM - Milho,X12,24.0,24.6,0.6,270.0
CCM - Milho,F13,25.7,25.91,0.21,94.5
CCM - Milho,H13,24.6,24.8,0.2,90.0
CCM - Milho,K13,24.5,24.7,0.2,90.0
CHF - Franco Suíço (em Reais),N12,2115.554,2139.619,24.065,1203.25
DAP - Cupom de DI x IPCA,Q12,98851.73,98840.89,-10.84,33.94
DAP - Cupom de DI x IPCA,K13,96813.97,96803.35,-10.62,132.89
DAP - Cupom de DI x IPCA,Q14,92522.96,92512.81,-10.15,782.7
DAP - Cupom de DI x IPCA,K15,89420.25,89410.44,-9.81,1011.39
DAP - Cupom de DI x IPCA,K17,81308.76,81299.84,-8.92,1946.77
DAP - Cupom de DI x IPCA,Q20,68920.44,68912.88,-7.56,3415.9
DDI - Cupom cambial,N12,100299.42,100563.15,263.73,512.18
DDI - Cupom cambial,Q12,100150.81,100414.15,263.34,502.25
DDI - Cupom cambial,U12,99982.91,100245.8,262.89,489.82
DDI - Cupom cambial,V12,99767.43,100029.76,262.33,475.21
DDI - Cupom cambial,F13,99124.83,99385.47,260.64,434.58
DDI - Cupom cambial,J13,98412.97,98671.74,258.77,399.76
DDI - Cupom cambial,N13,97664.01,97920.81,256.8,360.79
DDI - Cupom cambial,V13,96872.47,97127.19,254.72,305.34
DDI - Cupom cambial,F14,96043.28,96295.82,252.54,281.02
DDI - Cupom cambial,J14,95143.74,95393.91,250.17,113.98
DDI - Cupom cambial,N14,94323.06,94571.07,248.01,53.18
DDI - Cupom cambial,V14,93435.67,93681.35,245.68,36.77
DDI - Cupom cambial,F15,92613.03,92856.55,243.52,5.56
DDI - Cupom cambial,J15,91677.35,91918.41,241.06,16.58
DDI - Cupom cambial,N15,90718.38,90956.91,238.53,34.54
DDI - Cupom cambial,V15,89722.83,89958.75,235.92,64.31
