Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
AL2 - Álcool Anidro,Z07,725.0,720.0,-5.0,150.0
ALA - Álcool anidro,Z07,725.0,720.0,-5.0,150.0
B19 - Global 2019,F08,125.0313,125.7813,0.75,677.66
B34 - Global 2034,F08,127.4063,128.3125,0.9062,818.79
B40 - Global 2040,F08,133.3125,133.7188,0.4063,367.11
BG2 - Boi gordo,V07,63.14,64.03,0.89,293.7
BG2 - Boi gordo,X07,63.91,64.27,0.36,118.8
BG2 - Boi gordo,Z07,63.98,64.14,0.16,52.8
BG2 - Boi gordo,F08,62.9,63.0,0.1,33.0
BG2 - Boi gordo,G08,62.05,62.25,0.2,66.0
BG2 - Boi gordo,H08,61.9,62.1,0.2,66.0
BG2 - Boi gordo,K08,60.5,60.76,0.26,85.8
BG2 - Boi gordo,N08,64.59,64.85,0.26,85.8
BG2 - Boi gordo,V08,66.2,66.5,0.3,99.0
BG2 - Boi gordo,F09,64.0,64.3,0.3,99.0
BGI - Boi gordo,V07,63.14,64.03,0.89,293.7
BGI - Boi gordo,X07,63.91,64.27,0.36,118.8
BGI - Boi gordo,Z07,63.98,64.14,0.16,52.8
BGI - Boi gordo,F08,62.9,63.0,0.1,33.0
BGI - Boi gordo,G08,62.05,62.25,0.2,66.0
BGI - Boi gordo,H08,61.9,62.1,0.2,66.0
BGI - Boi gordo,K08,60.5,60.76,0.26,85.8
BGI - Boi gordo,N08,64.59,64.85,0.26,85.8
BGI - Boi gordo,V08,66.2,66.5,0.3,99.0
BGI - Boi gordo,F09,64.0,64.3,0.3,99.0
BRI - Futuro do Índice Brasil 50,Z07,9299.0,9393.0,94.0,940.0
BZ2 - Bezerro,J08,506.1,505.8,-0.3,9.9
BZ2 - Bezerro,K08,497.4,497.2,-0.2,6.6
BZE - Bezerro,J08,506.1,505.8,-0.3,9.9
BZE - Bezerro,K08,497.4,497.2,-0.2,6.6
CN2 - Milho,X07,26.2,26.2,0.0,0.0
CN2 - Milho,F08,27.1,27.29,0.19,85.5
CN2 - Milho,H08,23.0,23.13,0.13,58.5
CN2 - Milho,K08,21.8,21.76,-0.04,18.0
CN2 - Milho,N08,21.75,21.7,-0.05,22.5
CN2 - Milho,U08,21.89,21.66,-0.23,103.5
DAP - Cupom de DI x IPCA,Q10,82788.08,82763.28,-24.8,346.5
DAP - Cupom de DI x IPCA,K15,60891.38,60873.14,-18.24,455.17
DDI - Cupom cambial,X07,98834.14,98427.94,-406.2,1493.67
DDI - Cupom cambial,Z07,98352.9,97948.68,-404.22,1490.39
DDI - Cupom cambial,F08,97869.29,97467.05,-402.24,1484.54
DDI - Cupom cambial,G08,97370.78,96970.59,-400.19,1479.51
DDI - Cupom cambial,J08,96454.31,96057.89,-396.42,1462.32
DDI - Cupom cambial,N08,95039.18,94648.57,-390.61,1421.53
DDI - Cupom cambial,V08,93665.96,93281.0,-384.96,1385.14
DDI - Cupom cambial,F09,92340.49,91960.98,-379.51,1331.98
DDI - Cupom cambial,J09,91149.41,90774.79,-374.62,1265.76
DDI - Cupom cambial,N09,89966.93,89597.17,-369.76,1215.1
DDI - Cupom cambial,V09,88821.22,88456.17,-365.05,1123.58
DDI - Cupom cambial,F10,87632.02,87271.86,-360.16,1088.86
DDI - Cupom cambial,J10,86541.44,86185.76,-355.68,1029.97
DDI - Cupom cambial,N10,85403.76,85052.76,-351.0,1028.41
DDI - Cupom cambial,V10,84209.04,83862.95,-346.09,1038.36
DDI - Cupom cambial,F11,82996.9,82655.79,-341.11,1002.88
DDI - Cupom cambial,J11,81884.02,81547.48,-336.54,958.1
DDI - Cupom cambial,N11,80710.38,80378.67,-331.71,950.94
DDI - Cupom cambial,V11,79598.8,79271.65,-327.15,849.15
DDI - Cupom cambial,F12,78521.35,78198.63,-322.72,857.85
DDI - Cupom cambial,J12,77493.67,77175.18,-318.49,791.54
DDI - Cupom cambial,N12,76461.79,76147.54,-314.25,770.93
DDI - Cupom cambial,V12,75422.81,75112.83,-309.98,721.86
DDI - Cupom cambial,F13,74353.93,74048.34,-305.59,749.69
DDI - Cupom cambial,J13,73373.2,73071.64,-301.56,723.94
DDI - Cupom cambial,N13,72360.67,72063.27,-297.4,668.73
DDI - Cupom cambial,V13,71386.6,71093.21,-293.39,583.79
DDI - Cupom cambial,F14,70390.46,70101.16,-289.3,552.75
DDI - Cupom cambial,J14,69416.71,69131.41,-285.3,491.96
DDI - Cupom cambial,N14,68376.79,68095.77,-281.02,516.13
DDI - Cupom cambial,V14,67534.59,67257.03,-277.56,454.93
DDI - Cupom cambial,F15,66315.49,66042.94,-272.55,594.59
DDI - Cupom cambial,F16,62529.95,62272.96,-256.99,399.42
DDI - Cupom cambial,F17,58682.7,58441.52,-241.18,377.85
DDI - Cupom cambial,F18,55066.29,54839.97,-226.32,271.57
DDI - Cupom cambial,F19,51595.05,51383.0,-212.05,171.85
DDI - Cupom cambial,F22,42370.95,42196.81,-174.14,490.63
DI1 - DI de 1 dia,X07,99624.11,99582.51,-41.6,2.19
DI1 - DI de 1 dia,Z07,98793.85,98752.6,-41.25,7.01
DI1 - DI de 1 dia,F08,97971.46,97930.55,-40.91,11.19
DI1 - DI de 1 dia,G08,97070.38,97029.85,-40.53,17.57
DI1 - DI de 1 dia,J08,95480.86,95440.99,-39.87,35.98
DI1 - DI de 1 dia,N08,93018.71,92979.87,-38.84,49.53
DI1 - DI de 1 dia,V08,90432.68,90394.92,-37.76,57.61
DI1 - DI de 1 dia,F09,87924.7,87887.99,-36.71,69.98
DI1 - DI de 1 dia,J09,85638.23,85602.47,-35.76,60.72
DI1 - DI de 1 dia,N09,83429.3,83394.47,-34.83,75.46
DI1 - DI de 1 dia,V09,81121.05,81087.18,-33.87,84.58
DI1 - DI de 1 dia,F10,78980.53,78947.55,-32.98,91.22
DI1 - DI de 1 dia,J10,76920.95,76888.83,-32.12,100.58
DI1 - DI de 1 dia,N10,74891.65,74860.38,-31.27,80.67
DI1 - DI de 1 dia,V10,72819.1,72788.7,-30.4,95.64
DI1 - DI de 1 dia,F11,70868.09,70838.5,-29.59,110.53
DI1 - DI de 1 dia,J11,69003.95,68975.14,-28.81,138.05
DI1 - DI de 1 dia,N11,67217.52,67189.45,-28.07,110.7
DI1 - DI de 1 dia,V11,65349.97,65322.68,-27.29,161.59
DI1 - DI de 1 dia,F12,63654.6,63628.02,-26.58,135.34
DI1 - DI de 1 dia,J12,61979.56,61953.68,-25.88,123.1
DI1 - DI de 1 dia,N12,60369.7,60344.49,-25.21,139.34
DI1 - DI de 1 dia,V12,58713.61,58689.1,-24.51,169.0
DI1 - DI de 1 dia,F13,57175.92,57152.05,-23.87,119.38
DI1 - DI de 1 dia,F14,51222.07,51200.68,-21.39,141.95
DI1 - DI de 1 dia,F15,45902.92,45883.75,-19.17,146.91
DI1 - DI de 1 dia,F16,41176.9,41159.71,-17.19,161.14
DI1 - DI de 1 dia,F17,36971.47,36956.03,-15.44,152.18
DI1 - DI de 1 dia,F18,33170.55,33156.7,-13.85,196.93
DI1 - DI de 1 dia,F22,21420.48,21411.54,-8.94,273.51
DOL - Dólar comercial,X07,1822.731,1792.768,-29.963,1498.15
DOL - Dólar comercial,Z07,1829.089,1799.034,-30.055,1502.75
DOL - Dólar comercial,F08,1835.325,1805.216,-30.109,1505.45
DOL - Dólar comercial,G08,1842.855,1812.692,-30.163,1508.15
DOL - Dólar comercial,H08,1848.996,1818.934,-30.062,1503.1
DOL - Dólar comercial,J08,1855.468,1825.524,-29.944,1497.2
DOL - Dólar comercial,K08,1862.371,1832.548,-29.823,1491.15
DOL - Dólar comercial,M08,1868.973,1839.266,-29.707,1485.35
DOL - Dólar comercial,N08,1875.933,1846.352,-29.581,1479.05
DOL - Dólar comercial,Q08,1884.683,1855.16,-29.523,1476.15
DOL - Dólar comercial,U08,1892.707,1863.223,-29.484,1474.2
DOL - Dólar comercial,V08,1901.145,1871.71,-29.435,1471.75
DOL - Dólar comercial,F09,1926.631,1897.857,-28.774,1438.7
DOL - Dólar comercial,J09,1951.583,1923.394,-28.189,1409.45
DOL - Dólar comercial,N09,1976.06,1948.707,-27.353,1367.65
DOL - Dólar comercial,F10,2030.282,2005.05,-25.232,1261.6
DOL - Dólar comercial,J10,2057.214,2033.114,-24.1,1205.0
DOL - Dólar comercial,N10,2085.98,2060.752,-25.228,1261.4
DOL - Dólar comercial,V10,2115.507,2089.756,-25.751,1287.55
DOL - Dólar comercial,F11,2141.352,2116.398,-24.954,1247.7
DOL - Dólar comercial,J11,2167.85,2144.408,-23.442,1172.1
