Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
AL2 - Álcool Anidro,M06,1150.0,1150.0,0.0,0.0
AL2 - Álcool Anidro,N06,1080.0,1041.67,-38.33,1149.9
AL2 - Álcool Anidro,Q06,1072.33,1058.33,-14.0,420.0
AL2 - Álcool Anidro,U06,1070.36,1074.49,4.13,123.9
AL2 - Álcool Anidro,V06,1115.0,1100.0,-15.0,450.0
AL2 - Álcool Anidro,X06,1109.0,1076.75,-32.25,967.5
AL2 - Álcool Anidro,Z06,1120.0,1099.66,-20.34,610.2
AL2 - Álcool Anidro,F07,1150.0,1095.0,-55.0,1650.0
AL2 - Álcool Anidro,G07,0.0,1090.0,0.0,32700.0
AL2 - Álcool Anidro,H07,0.0,1090.0,0.0,32700.0
ALA - Álcool anidro,M06,1150.0,1150.0,0.0,0.0
ALA - Álcool anidro,N06,1080.0,1041.67,-38.33,1149.9
ALA - Álcool anidro,Q06,1072.33,1058.33,-14.0,420.0
ALA - Álcool anidro,U06,1070.36,1074.49,4.13,123.9
ALA - Álcool anidro,V06,1115.0,1100.0,-15.0,450.0
ALA - Álcool anidro,X06,1109.0,1076.75,-32.25,967.5
ALA - Álcool anidro,Z06,1120.0,1099.66,-20.34,610.2
ALA - Álcool anidro,F07,1150.0,1095.0,-55.0,1650.0
ALA - Álcool anidro,G07,1090.0,1090.0,0.0,0.0
ALA - Álcool anidro,H07,1090.0,1090.0,0.0,0.0
B19 - Global 2019,N06,109.1563,109.1563,0.0,0.0
B34 - Global 2034,N06,102.4688,102.4375,-0.0313,35.31
B40 - Global 2040,N06,123.0938,123.0938,0.0,0.0
BG2 - Boi gordo,K06,48.27,48.4,0.13,42.9
BG2 - Boi gordo,M06,50.01,50.29,0.28,92.4
BG2 - Boi gordo,N06,52.74,53.18,0.44,145.2
BG2 - Boi gordo,Q06,54.07,54.4,0.33,108.9
BG2 - Boi gordo,U06,55.87,56.22,0.35,115.5
BG2 - Boi gordo,V06,57.96,58.05,0.09,29.7
BG2 - Boi gordo,X06,58.28,58.43,0.15,49.5
BG2 - Boi gordo,Z06,57.76,58.0,0.24,79.2
BG2 - Boi gordo,F07,57.23,57.4,0.17,56.1
BG2 - Boi gordo,G07,57.27,57.5,0.23,75.9
BG2 - Boi gordo,K07,56.0,56.5,0.5,165.0
BGI - Boi gordo,K06,48.27,48.4,0.13,42.9
BGI - Boi gordo,M06,50.01,50.29,0.28,92.4
BGI - Boi gordo,N06,52.74,53.18,0.44,145.2
BGI - Boi gordo,Q06,54.07,54.4,0.33,108.9
BGI - Boi gordo,U06,55.87,56.22,0.35,115.5
BGI - Boi gordo,V06,57.96,58.05,0.09,29.7
BGI - Boi gordo,X06,58.28,58.43,0.15,49.5
BGI - Boi gordo,Z06,57.76,58.0,0.24,79.2
BGI - Boi gordo,F07,57.23,57.4,0.17,56.1
BGI - Boi gordo,G07,57.27,57.5,0.23,75.9
BGI - Boi gordo,K07,56.0,56.5,0.5,165.0
BRI - Futuro do Índice Brasil 50,M06,5577.0,5584.0,7.0,70.0
BZ2 - Bezerro,K06,368.5,368.5,0.0,0.0
BZ2 - Bezerro,G07,390.0,390.0,0.0,0.0
BZE - Bezerro,K06,368.5,368.5,0.0,0.0
BZE - Bezerro,G07,390.0,390.0,0.0,0.0
CN2 - Milho,N06,16.69,16.7,0.01,4.5
CN2 - Milho,U06,17.0,17.0,0.0,0.0
CN2 - Milho,X06,17.45,17.48,0.03,13.5
CN2 - Milho,F07,17.8,17.75,-0.05,22.5
CN2 - Milho,H07,17.65,17.7,0.05,22.5
CO2 - Algodão,N06,54.8,55.0,0.2,125.08
CO2 - Algodão,V06,54.4,54.5,0.1,62.54
CO2 - Algodão,Z06,55.3,55.4,0.1,62.54
CO2 - Algodão,H07,58.2,58.3,0.1,62.54
